,markername,incre_new,Coordinate_Value,Primary_Bin,Chromosome,meanQTL_ID,vQTL_ID
1,gpm27,0.01,1.7,1,1,,q1
2,tub1,0.81,2.5,1.01,1,,q1
3,gpm113b,0.82,2.5,1.01,1,,q1
4,gpm705a,0.84,2.52,1.01,1,,q1
5,gpm325a,4.97,6.65,1.01,1,,q1
6,dmt103b,6.89,8.57,1.01,1,,q1
7,gpm699d,8.67,10.35,1.01,1,,
8,gpm319,14.82,16.5,1.01,1,,
9,IDP1447,19.92,21.6,1.01,1,,
10,bnl5.62a,21.12,22.8,1.01,1,,
11,IDP1464,21.17,22.85,1.01,1,,
12,fus6,22.62,24.3,1.01,1,,
13,AY109692,23.62,25.3,2.01,1,,
14,mmp102,24.42,26.1,1.01,1,,
15,AY110314,29.42,31.1,1.01,1,,
16,umc94a,38.62,40.3,1.01,1,,
17,gpm331,38.71,40.39,1.01,1,,
18,lim179,47.02,48.7,1.01,1,,
19,IDP755,52.47,54.15,1.01,1,,
20,AY107629,54.63,56.31,1.01,1,,
21,mmp49,56.12,57.8,1.01,1,,
22,cdo1081a,57.82,59.5,1.01,1,,
23,asg31,65.22,66.9,1.01,1,,
24,npi415,66.02,67.7,1.01,1,,q2
25,ufg31,71.62,73.3,1.01,1,,q2
26,gpm330,71.91,73.59,1.01,1,,q2
27,ufg33,72.02,73.7,1.01,1,,q2
28,ufg32,72.82,74.5,1.01,1,,q2
29,ufg34,74.42,76.1,1.01,1,,q2
30,AY108650,77.57,79.25,1.01,1,,q2
31,gpm495,80.45,82.13,1.01,1,,q2
32,gpm83b,80.75,82.43,1.01,1,,q2
33,gpm767,80.94,82.62,1.01,1,,q2
34,bnlg1014,81.12,82.8,1.01,1,,q2
35,umc1363a,82.02,83.7,1.01,1,,q2
36,gst12,83.52,85.2,1.01,1,,q2
37,umc1269,84.62,86.3,1.01,1,,q2
38,umc2012,85.72,87.4,1.01,1,,q2
39,umc1977,87.52,89.2,1.01,1,,q2
40,IDP553,88.91,90.59,1.01,1,,q2
41,IDP4043,89.33,91.01,1.01,1,,q2
42,php20603,90.02,91.7,1.01,1,,q2
43,sgb101,90.74,92.42,2.02,1,,q2
44,IDP1437,91.9,93.58,1.01,1,,q2
45,IDP847,93.03,94.71,1.01,1,,q2
46,gpm125,96.14,97.82,1.01,1,,q2
47,lls1,97.12,98.8,1.01,1,,q2
48,php20689,99.42,101.1,1.01,1,,q2
49,umc1685,101.32,103,1.01,1,,q2
50,gpm557b,106.62,108.3,1.01,1,,q2
51,umc1160,106.63,108.3,1.01,1,,q2
52,gpm584,107.6,109.27,1.01,1,,q2
53,gpm346b,108.13,109.8,1.01,1,,q2
54,gpm33e,108.55,110.22,1.01,1,,q2
55,umc2224,109.23,110.9,1.01,1,,q2
56,gpm556,110.49,112.16,1.01,1,,q2
57,npi579b,110.53,112.2,1.01,1,,q2
58,IDP3917,115.28,116.95,1.02,1,,q2
59,gpm199c,115.57,117.24,1.02,1,,q2
60,IDP1425,118.03,119.7,1.02,1,,
61,mmp68,121.93,123.6,1.02,1,,
62,umc2225,123.03,124.7,1.02,1,,
63,csu1171,125.63,127.3,1.02,1,,
64,mmp171b,130.13,131.8,1.02,1,,
65,gpm403b,131.93,133.6,1.02,1,,
66,umc1568,140.13,141.8,1.02,1,,
67,IDP3783,140.14,141.81,1.02,1,,
68,bnlg1429,141.83,143.5,1.02,1,,
69,IDP209,144.3,145.97,1.02,1,,
70,php20640,145.23,146.9,1.02,1,,
71,lim504,149.93,151.6,1.02,1,,
72,gpm283b,151.4,153.07,1.02,1,,
73,IDP343,152.71,154.38,1.02,1,,
74,IDP622,152.96,154.63,1.02,1,,
75,IDP3970,156.2,157.87,1.02,1,,
76,umc1976,158.93,160.6,1.02,1,,
77,gpm667,162.62,164.29,1.02,1,,
78,gpm774d,162.74,164.41,1.02,1,,
79,umc2226,164.13,165.8,1.02,1,,
80,mmp135,164.33,166,1.02,1,,
81,bnlg1127,165.83,167.5,1.02,1,,
82,bnlg1953,168.33,170,1.02,1,,
83,gpm768,168.34,170.01,1.02,1,,
84,gpm291,168.35,170.02,1.02,1,,
85,IDP4048,177.32,178.99,1.02,1,,
86,IDP2552,178.95,180.62,1.02,1,,
87,npi403b,182.13,183.8,1.02,1,,
88,IDP645,193.89,195.56,1.02,1,,
89,umc76a,196.73,198.4,1.03,1,,
90,ufg78,198.03,199.7,1.03,1,,
91,cdo1387b,199.83,201.5,1.03,1,,
92,gpm518,201.34,203.01,1.03,1,,
93,gpm748b,202.7,204.37,1.03,1,,
94,lim122,203.33,205,1.03,1,,
95,IDP2362,203.7,205.37,1.03,1,,
96,IDP2385,203.71,205.37,1.03,1,,
97,umc1073,206.84,208.5,1.03,1,,
98,IDP1410,209.61,211.27,1.03,1,q1,q3
99,npi439a,215.14,216.8,1.03,1,q1,q3
100,umc230,216.74,218.4,1.03,1,q1,q3
101,umc11a,217.14,218.8,1.03,1,q1,q3
102,bnlg1484,217.34,219,1.03,1,q1,q3
103,IDP3976,218.09,219.75,1.03,1,q1,q3
104,gpm796a,220.99,222.65,1.03,1,q1,q3
105,IDP329,221.79,223.45,1.03,1,q1,q3
106,mmp66,222.74,224.4,1.03,1,q1,q3
107,AY109929,223.74,225.4,1.03,1,q1,q3
108,IDP1483,224.74,226.4,1.03,1,q1,q3
109,gpm857,225.64,227.3,1.03,1,q1,q3
110,gpm559,225.98,227.64,1.03,1,q1,q3
111,AY110052,227.94,229.6,1.03,1,q1,
112,gpm838a,228.09,229.75,1.03,1,q1,
113,IDP3914,238.65,240.31,1.03,1,q1,
114,AY110028,244.64,246.3,1.03,1,q1,
115,IDP112,251.06,252.72,1.03,1,q1,
116,IDP142,252.7,254.36,1.03,1,q1,
117,npi242b,253.54,255.2,1.03,1,q1,
118,IDP81,254.78,256.44,1.03,1,q1,
119,asg26,256.24,257.9,1.03,1,q1,
120,IDP1632,256.7,258.36,1.03,1,q1,
121,lim51,257.04,258.7,1.03,1,q1,
122,bnlg439,257.44,259.1,1.03,1,q1,
123,bnlg1203,257.64,259.3,1.03,1,q1,
124,IDP349,257.65,259.31,1.03,1,q1,
125,AY106592,257.82,259.48,1.03,1,q1,
126,fad8,259.04,260.7,1.03,1,q1,
127,gpm121,259.55,261.21,1.03,1,q1,
128,AY110640,262.74,264.4,1.03,1,q1,
129,gpm357,266.43,268.09,1.03,1,q1,
130,gpm101a,267.73,269.39,1.03,1,q1,
131,IDP3865,268.94,270.6,1.03,1,q1,
132,umc13,268.95,270.6,1.03,1,q1,
133,gpm567,270.13,271.78,1.03,1,q1,
134,asg35b,272.25,273.9,1.03,1,q1,
135,gpm63b,273.2,274.85,1.03,1,,
136,gpm498c,276.24,277.89,1.03,1,,
137,AY110632,276.45,278.1,1.03,1,,
138,IDP875,277.67,279.32,1.03,1,,
139,AY110240,280.7,282.35,1.03,1,,
140,ndp2,280.95,282.6,1.03,1,,
141,mmp23,284.55,286.2,1.03,1,,
142,AW400087,285.55,287.2,1.03,1,,
143,ndp1,286.95,288.6,1.03,1,,
144,bnlg1866,288.45,290.1,1.03,1,,
145,umc1880,288.65,290.3,1.03,1,,
146,umc1598,289.05,290.7,1.03,1,,
147,lim432,290.75,292.4,1.03,1,,
148,AY107489,293.99,295.64,1.04,1,,
149,gpm28c,294.93,296.58,1.04,1,,
150,mmp151a,295.55,297.2,1.04,1,,
151,AY110393,301.15,302.8,1.04,1,,
152,mmp100,309.75,311.4,1.04,1,,
153,umc2145,317.35,319,1.04,1,,
154,mmp56,319.25,320.9,1.04,1,,
155,cdo938a,321.45,323.1,1.04,1,,
156,bnlg2238,325.05,326.7,1.04,1,,
157,gpm898,326.83,328.48,1.04,1,,
158,umc2124a,326.85,328.5,1.04,1,,
159,sus2,327.41,329.06,1.04,1,,
160,IDP1489,328.78,330.43,1.04,1,,
161,umc1849,333.35,335,1.04,1,,
162,asg75,334.85,336.5,1.04,1,,
163,gpm364,335.61,337.26,1.04,1,,
164,sod4,335.85,337.5,1.04,1,,
165,chr125b,338.56,340.21,1.04,1,,
166,asg30b,339.05,340.7,1.04,1,,
167,IDP739,339.06,340.7,1.04,1,,
168,IDP182,342.96,344.6,1.04,1,,
169,AY110330,348.96,350.6,1.04,1,,
170,IDP1411,348.99,350.63,1.04,1,,
171,gpm492,351.93,353.57,1.04,1,,
172,csu207,354.36,356,1.04,1,,
173,gpm933,355.89,357.53,1.04,1,,
174,umc2227,359.26,360.9,1.04,1,,
175,IDP2553,364.8,366.44,1.04,1,,
176,ufg13b,367.56,369.2,1.04,1,,
177,ufg77,371.56,373.2,1.04,1,,
178,umc1917,373.16,374.8,1.04,1,,
179,isu041b,375.56,377.2,1.04,1,q2,
180,ufg43,381.96,383.6,1.04,1,q2,
181,bnlg1811,384.76,386.4,1.04,1,q2,
182,IDP1953,387.66,389.3,1.04,1,q2,
183,IDP99,389.16,390.8,1.04,1,q2,
184,dupssr26,389.48,391.12,1.04,1,q2,
185,umc2228,390.16,391.8,1.04,1,q2,
186,IDP252,391.54,393.18,1.04,1,q2,
187,gpm815a,391.64,393.28,1.04,1,q2,
188,gpm251,393.19,394.83,1.04,1,q2,
189,aoc1,394.51,396.15,1.04,1,q2,
190,umc2229,395.66,397.3,1.04,1,q2,
191,gpm850c,395.95,397.59,1.04,1,q2,
192,bnlg2295,396.56,398.2,1.04,1,q2,
193,gpm181,397.33,398.97,1.04,1,q2,
194,gpm532,397.34,398.97,1.04,1,q2,
195,gpm198,398.44,400.07,1.04,1,q2,
196,IDP376,398.98,400.61,1.04,1,q2,
197,bnlg2086,399.57,401.2,1.04,1,q2,
198,umc2112,399.67,401.3,1.04,1,q2,
199,asg3,400.27,401.9,1.04,1,q2,
200,IDP1986,402.87,404.5,1.04,1,q2,
201,csu3,403.37,405,1.05,1,q2,
202,gpm305,405.38,407.01,1.05,1,q2,
203,IDP1605,409.13,410.76,1.05,1,q2,
204,IDP751,410.97,412.6,1.05,1,q2,
205,mmp61,410.98,412.6,1.05,1,q2,
206,lim497,412.08,413.7,1.05,1,q2,
207,umc2025,415.38,417,1.05,1,q2,
208,mmp39,423.58,425.2,1.05,1,q2,
209,umc1515,428.98,430.6,1.05,1,q2,
210,myc7,429.58,431.2,1.05,1,q2,
211,IDP1457,430.79,432.41,1.05,1,q2,
212,gpm104,431.65,433.27,1.05,1,q2,
213,gpm787b,431.73,433.35,1.05,1,q2,
214,AY111680,431.98,433.6,1.05,1,q2,
215,IDP2367,432.06,433.68,1.05,1,q2,
216,IDP2412,434.36,435.98,1.05,1,q2,
217,gpm429c,434.37,435.99,1.05,1,q2,
218,AY109678,435.68,437.3,1.05,1,q2,
219,IDP194,435.73,437.35,1.05,1,q2,
220,mmp143,436.28,437.9,1.05,1,q2,
221,gpm540b,437.09,438.71,1.05,1,q2,
222,csu1138,437.38,439,1.05,1,q2,
223,rz323a,437.68,439.3,1.05,1,q2,
224,AY106439,438.38,440,1.05,1,q2,
225,gpm519,438.44,440.06,1.05,1,q2,
226,IDP676,439.48,441.1,1.05,1,q2,
227,mmp101,439.58,441.2,1.05,1,q2,
228,IDP2551,441.56,443.18,1.05,1,q2,
229,IDP1407,442.3,443.92,1.05,1,q2,
230,AY110396,443.88,445.5,1.05,1,q2,
231,umc1626,447.13,448.75,1.05,1,q2,
232,umc1676,449.18,450.8,1.05,1,q2,
233,IDP1675,449.2,450.82,1.05,1,q2,
234,umc2231,451.88,453.5,1.05,1,q2,
235,umc1703,452.28,453.9,1.05,1,q2,
236,AI855190,463.08,464.7,1.05,1,q2,
237,IDP653,464.32,465.94,1.05,1,q2,
238,IDP34,464.33,465.94,1.05,1,q2,
239,umc1906,465.39,467,1.05,1,q2,
240,umc1903a,466.29,467.9,1.05,1,q2,
241,mmp124,467.79,469.4,1.05,1,q2,
242,umc2232,469.29,470.9,1.05,1,q2,
243,umc1395,470.09,471.7,1.05,1,q2,
244,umc1321,471.59,473.2,1.05,1,q2,
245,umc2233,472.89,474.5,1.05,1,q2,
246,umc1603,474.29,475.9,1.05,1,q2,
247,gpm692a,474.55,476.16,1.05,1,q2,
248,gpm29,479.54,481.15,1.05,1,q2,
249,gpm349,481.2,482.81,1.05,1,q2,
250,gpm150b,483.14,484.75,1.05,1,q2,
251,uaz276,484.29,485.9,1.05,1,q2,
252,IDP2452,488.4,490.01,1.05,1,q2,
253,gpm931b,488.95,490.56,1.05,1,q2,
254,mbd106,491.44,493.05,1.05,1,q2,
255,gpm618,493.66,495.27,1.05,1,,
256,umc67a,494.99,496.6,1.06,1,,
257,IDP386,498.15,499.76,1.06,1,,
258,gpm229,498.41,500.02,1.06,1,,
259,gpm4,498.42,500.02,1.06,1,,
260,umc1972,501.7,503.3,1.06,1,,
261,IDP741,503.17,504.77,1.06,1,,
262,IDP4037,504.06,505.66,1.06,1,,
263,IDP4052,505.7,507.3,1.06,1,,
264,umc1812,506.6,508.2,1.06,1,,
265,IDP1703,509.1,510.7,1.06,1,,
266,myb6,513.1,514.7,1.06,1,,
267,umc1590,515.4,517,1.06,1,,
268,AY109499,516.1,517.7,1.06,1,,
269,AY110566,517.3,518.9,1.06,1,,
270,bnl5.59a,518.8,520.4,1.06,1,,
271,IDP846,520.8,522.4,1.06,1,,
272,php20654,521.7,523.3,1.06,1,,
273,AY110296,522.3,523.9,1.06,1,,
274,asg58,524.1,525.7,1.06,1,,
275,umc1811,524.8,526.4,1.06,1,,
276,bnlg2057,526,527.6,1.06,1,,
277,umc2234,527.4,529,1.06,1,,
278,mbd119,527.67,529.27,1.06,1,,
279,bnlg1598,531.2,532.8,1.06,1,,
280,umc1123,533.5,535.1,1.06,1,,
281,AY104360,539.7,541.3,1.06,1,,
282,mmp156,542.6,544.2,1.06,1,,
283,bnlg1057,546.7,548.3,1.06,1,,
284,umc1396,546.8,548.4,1.06,1,,
285,nact15,547.22,548.82,1.06,1,,
286,umc2235,548.4,550,1.06,1,,
287,umc1748,552,553.6,1.06,1,,
288,umc1919a,554.2,555.8,1.06,1,,
289,bnlg1615,556,557.6,1.06,1,,
290,csu805,556.9,558.5,1.06,1,,
291,gpm688,557.88,559.48,1.06,1,,
292,gpm894,557.89,559.48,1.06,1,,
293,gpm169,558.46,560.05,1.06,1,,
294,AY111153,559.41,561,1.06,1,,
295,gpm906a,559.45,561.04,1.06,1,,
296,gpm906b,561,562.59,1.06,1,,
297,IDP168,562.02,563.61,1.06,1,,
298,umc2151,562.31,563.9,1.06,1,,
299,IDP2465,568.93,570.52,1.06,1,,
300,ntf1,569.21,570.8,1.06,1,,
301,umc58,574.31,575.9,1.06,1,,
302,asg16b,576.61,578.2,1.06,1,,
303,IDP790,581.55,583.14,1.06,1,,
304,IDP4057,582.07,583.66,1.06,1,,
305,IDP438,585.41,587,1.06,1,,
306,IDP295,586.3,587.89,1.06,1,,
307,umc1709,586.61,588.2,1.06,1,,
308,php20644,588.01,589.6,1.06,1,q3,
309,umc1924,592.21,593.8,1.06,1,q3,
310,ufg50,595.91,597.5,1.06,1,q3,
311,uaz147b,598.41,600,1.06,1,q3,
312,gpm136,601,602.59,1.06,1,q3,
313,csu1132,602.21,603.8,1.06,1,q3,
314,umc2236,603.21,604.8,1.06,1,q3,
315,umc1925,604.91,606.5,1.06,1,q3,
316,asg62,605.71,607.3,1.07,1,q3,
317,IDP1972,606.8,608.39,1.07,1,q3,
318,gpm260a,607.21,608.8,1.07,1,q3,
319,gpm820f,608.19,609.78,1.07,1,q3,
320,umc2237,616.91,618.5,1.07,1,,
321,umc2239,629.01,630.6,1.07,1,,
322,gpm192,630.33,631.92,1.07,1,,
323,gpm96,631.43,633.02,1.07,1,,
324,umc2238,636.71,638.3,1.07,1,,
325,IDP1656,637.8,639.39,1.07,1,,
326,IDP716,639.93,641.52,1.07,1,,
327,csu374b,640.71,642.3,1.07,1,,
328,IDP198,644.4,645.99,1.07,1,,
329,bcd98a,647.91,649.5,1.07,1,,q4
330,umc1358,651.81,653.4,1.07,1,,q4
331,AY111834,655.11,656.7,1.07,1,,q4
332,bnlg1556,657.01,658.6,1.07,1,,q4
333,gpm420b,659.31,660.9,1.07,1,,q4
334,dmt103c,666.14,667.73,1.07,1,,q4
335,IDP243,667.72,669.31,1.07,1,,q4
336,umc23a,668.61,670.2,1.07,1,,q4
337,IDP3873,674.22,675.81,1.07,1,,q4
338,gpm852,678.16,679.75,1.07,1,,q4
339,hmga102,682.49,684.08,1.07,1,,q4
340,gpm802,683.08,684.67,1.07,1,,
341,lim442,683.61,685.2,1.07,1,,
342,gpm440,687.81,689.4,1.07,1,,
343,gpm415a,687.82,689.4,1.07,1,,
344,gpm63a,687.83,689.4,1.07,1,,
345,IDP856,691.85,693.42,1.07,1,,
346,mmp173,692.03,693.6,1.07,1,,
347,php20661,698.33,699.9,1.07,1,,
348,bnlg1025,698.93,700.5,1.07,1,,
349,IDP644,698.96,700.53,1.07,1,,
350,bcd207a,701.93,703.5,1.07,1,,
351,AY110356,704.83,706.4,1.07,1,,
352,umc1128,709.93,711.5,1.07,1,,
353,IDP640,714.62,716.19,1.07,1,,
354,IDP2492,715.86,717.43,1.07,1,,
355,bcd386a,716.23,717.8,1.07,1,,
356,bnlg1564,716.93,718.5,1.07,1,,
357,IDP820,717.45,719.02,1.07,1,,
358,npi447a,718.73,720.3,1.07,1,,
359,phi002,719.33,720.9,1.07,1,,
360,umc1245,720.33,721.9,1.07,1,,
361,AY105132,720.5,722.07,1.07,1,,
362,IDP1982,720.51,722.07,1.07,1,,
363,AY110159,720.74,722.3,1.07,1,,
364,umc128a,720.84,722.4,1.08,1,,
365,umc37a,724.54,726.1,1.08,1,,
366,AY110313,733.64,735.2,1.08,1,,
367,IDP126,736.62,738.18,1.08,1,,
368,AY110191,738.84,740.4,1.08,1,,
369,cdo98b,743.14,744.7,1.08,1,,
370,umc1998,746.34,747.9,1.08,1,,
371,mmp99,748.44,750,1.08,1,,
372,gpm389a,750.71,752.27,1.08,1,,
373,bnlg2228,753.64,755.2,1.08,1,,
374,umc83a,754.94,756.5,1.08,1,,
375,lim254,758.74,760.3,1.08,1,,
376,chr124,760.64,762.2,1.08,1,,
377,npi120,764.34,765.9,1.08,1,,
378,ufg61,766.67,768.23,1.11,1,,
379,bnlg1643,766.98,768.54,1.08,1,,
380,umc2080,767.84,769.4,1.08,1,,
381,umc1955,768.84,770.4,1.08,1,,
382,gpm819,770.49,772.05,1.08,1,,
383,gpm243b,772.83,774.39,1.08,1,,
384,umc2181,772.94,774.5,1.08,1,,
385,IDP707,773.76,775.32,1.08,1,,
386,umc1838a,775.84,777.4,1.08,1,,
387,IDP512,776.78,778.34,1.08,1,,
388,umc1446,780.04,781.6,1.08,1,,
389,umc1928,781.64,783.2,1.08,1,,
390,mmp22,783.14,784.7,1.08,1,,
391,IDP669,783.74,785.3,1.08,1,,
392,an1,783.75,785.3,1.08,1,,
393,IDP3997,785.84,787.39,1.08,1,,
394,sdg123,791.85,793.4,1.08,1,,
395,gpm547c,794.32,795.87,1.08,1,,
396,umc1991,799.15,800.7,1.08,1,,
397,IDP1468,800.91,802.46,1.08,1,,
398,gpm608,802.41,803.96,1.08,1,,
399,umc1383,803.75,805.3,1.08,1,,
400,umc2240,804.95,806.5,1.08,1,q4,
401,umc1914,808.35,809.9,1.08,1,q4,
402,AY106137,808.46,810.01,1.08,1,q4,
403,IDP630,808.81,810.36,1.08,1,q4,
404,AY109506,809.45,811,1.08,1,q4,
405,nfc103a,809.71,811.26,1.08,1,q4,
406,gpm838c,810.37,811.92,1.08,1,q4,
407,cdj2,810.75,812.3,1.09,1,q4,
408,ufg53,813.65,815.2,1.09,1,q4,
409,IDP3841,816.54,818.09,1.09,1,q4,
410,csu696,819.95,821.5,1.09,1,q4,
411,rz403,824.25,825.8,1.09,1,q4,
412,IDP3803,827.04,828.59,1.09,1,q4,
413,chrom7,831.45,833,1.09,1,q4,
414,glb1,837.75,839.3,1.09,1,q4,
415,umc2047,840.75,842.3,1.09,1,q4,
416,IDP2516,841.93,843.48,1.09,1,q4,
417,gpm138b,842.79,844.34,1.09,1,q4,
418,IDP3798,843.45,845,1.09,1,q4,
419,umc140a,844.55,846.1,1.09,1,q4,
420,bnlg1331,845.45,847,1.09,1,q4,
421,AY110452,853.85,855.4,1.09,1,q4,
422,IDP3993,857.65,859.2,1.09,1,,
423,gpm129,864.62,866.17,1.09,1,,
424,AY112283,867.66,869.21,1.09,1,,
425,IDP2347,870.75,872.3,1.09,1,,
426,IDP340,872.97,874.52,1.09,1,,
427,d8,875.24,876.79,1.09,1,,
428,mmp195d,878.15,879.7,1.09,1,,
429,tb1,881.15,882.7,1.09,1,,
430,gpm350a,883.48,885.03,1.09,1,q5,
431,IDP437,885.15,886.7,1.09,1,q5,
432,chb101b,886.32,887.87,1.1,1,q5,
433,IDP3977,888.35,889.9,1.1,1,q5,
434,AI665421,888.36,889.9,1.1,1,q5,
435,AY110019,889.36,890.9,1.1,1,q5,
436,IDP1636,889.37,890.91,1.1,1,q5,
437,gpm266,889.75,891.29,1.1,1,q5,
438,gpm277,889.76,891.29,1.1,1,q5,
439,bcd808a,890.17,891.7,1.1,1,q5,
440,gpm801a,890.35,891.88,1.1,1,,
441,gpm660a,890.57,892.1,1.1,1,,
442,nfa103a,890.58,892.1,1.1,1,,
443,umc2189,890.68,892.2,1.1,1,,
444,gpm521a,891.3,892.82,1.1,1,,
445,gpm663a,894.95,896.47,1.1,1,,
446,umc2149,897.18,898.7,1.1,1,,
447,AY104234,897.19,898.7,1.1,1,,
448,mmp83,897.69,899.2,1.1,1,,
449,IDP527,900.59,902.1,1.1,1,,
450,adh1,900.6,902.1,1.1,1,,
451,gpm85,902.62,904.12,1.1,1,,
452,BE639426,905.6,907.1,1.1,1,,
453,gpm862,905.85,907.35,1.1,1,,
454,hxa102b,911.9,913.4,1.1,1,,
455,mmp172,913.7,915.2,1.1,1,,
456,npi407,915.2,916.7,1.1,1,,
457,vef101b,922.53,924.03,1.1,1,,
458,lim99a,924.8,926.3,1.1,1,,
459,npi282b,926.4,927.9,1.1,1,,
460,IDP1420,928.48,929.98,1.1,1,,
461,lim78,929,930.5,1.1,1,,
462,gpm623,934.56,936.06,1.1,1,,
463,mmp165,938.2,939.7,1.1,1,,
464,IDP3843,940.48,941.98,1.1,1,,
465,mmp87,940.9,942.4,1.1,1,,
466,IDP2395,944.11,945.61,1.1,1,,
467,lim39,948.7,950.2,1.1,1,,
468,gpm610a,949.3,950.8,1.1,1,q6,
469,bnl7.25a,949.7,951.2,1.1,1,q6,
470,gpm164b,949.97,951.47,1.1,1,q6,
471,IDP195,950.91,952.41,1.1,1,q6,
472,IDP2450,951.38,952.88,1.1,1,q6,
473,IDP823,951.82,953.32,1.1,1,q6,
474,umc257,961.7,963.2,1.1,1,q6,
475,AY109834,968.5,970,1.11,1,q6,
476,IDP870,971.46,972.96,1.11,1,q6,
477,AY110426,985.8,987.3,1.11,1,q6,
478,ufg14,993.5,995,1.11,1,q6,
479,IDP3913,999.38,1000.88,1.11,1,q6,
480,mmp195g,999.4,1000.9,1.11,1,q6,
481,npi238,1004.6,1006.1,1.11,1,q6,
482,jpsb239b,1005.1,1006.6,1.11,1,q6,
483,IDP1975,1006.1,1007.6,1.11,1,q6,
484,IDP3856,1010.93,1012.43,1.11,1,q6,
485,gpm217a,1014.67,1016.17,1.11,1,q6,
486,umc1129,1017.6,1019.1,1.11,1,q6,
487,IDP691,1018.18,1019.68,1.11,1,q6,
488,bnl8.29a,1019.9,1021.4,1.11,1,q6,
489,IDP806,1020.8,1022.3,1.11,1,q6,
490,umc1111,1021.1,1022.6,1.11,1,q6,
491,hon110,1023.27,1024.77,1.11,1,q6,
492,npi241a,1024.2,1025.7,1.11,1,q6,
493,IDP538,1024.98,1026.48,1.11,1,q6,
494,umc2241,1029.5,1031,1.11,1,q6,
495,umc1118,1032.8,1034.3,1.11,1,q6,
