,Cycle,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,B1,B2,B3,B4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D1,D2,D3,D4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,F1,F2,F3,F4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,H1,H2,H3,H4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,J1,J2,J3,J4,K5,K6,K7,K8,K9,K10,K11,K12,L1,L2,L3,L4,P5,P6,P7,P8,P9,P10,P11,P12
,1,2971.96,2992.89,2955.63,3009.99,2882.33,2882.27,2905.52,2921.95,2922.64,2896.58,2907.26,2923.75,2892.81,2886.80,2898.15,2854.73,2962.15,2993.10,2987.69,2962.32,3006.89,2983.83,2992.70,2972.80,2873.13,2883.84,2900.04,2895.55,2870.66,2890.17,2876.60,2871.40,2885.78,2897.66,2852.82,2892.87,3031.51,3000.29,2980.85,2994.75,2977.86,2998.54,3007.33,2990.94,2854.56,2915.16,2843.80,2849.94,2879.61,2901.58,2866.80,2843.91,2840.28,2864.85,2880.52,2861.24,2990.95,2982.02,2986.15,2988.96,2997.47,2993.36,2970.22,2918.88,2859.45,2865.86,2838.36,2861.13,2856.96,2856.85,2829.85,2838.60,2819.58,2793.12,2854.70,2840.73,2997.87,3039.43,2938.17,2954.22,2979.59,2980.98,2934.72,2960.39,2837.96,2835.39,2853.01,2809.16,2831.93,2830.97,2840.46,2828.87,2831.32,2855.52,2843.69,2826.99,3008.95,3001.84,2956.69,2963.95,2969.52,3010.70,2974.10,2950.88,2820.49,2877.61,2852.18,2827.07,2975.48,3020.91,3000.30,2986.18,2943.27,2955.30,2941.43,2958.11,2890.60,2829.42,3052.34,2851.09
,2,2966.96,2991.34,2954.95,3007.85,2883.25,2879.99,2911.36,2925.75,2924.51,2896.63,2908.76,2928.40,2894.57,2888.05,2901.71,2853.69,2959.90,2988.27,2986.74,2961.63,3001.05,2974.44,2986.56,2969.92,2871.27,2877.68,2891.44,2891.41,2867.29,2884.72,2876.88,2868.63,2879.20,2893.60,2852.30,2889.99,3028.69,2997.17,2981.64,2987.94,2969.87,2998.09,3003.32,2988.25,2855.69,2911.47,2843.10,2849.82,2875.97,2899.68,2860.06,2844.60,2838.49,2860.89,2878.26,2856.10,2987.73,2983.45,2983.12,2984.54,2996.19,2988.31,2970.60,2915.64,2859.04,2863.18,2838.62,2856.25,2854.34,2855.91,2826.47,2837.48,2818.18,2790.87,2850.07,2834.16,2999.02,3035.11,2937.75,2952.72,2975.11,2981.34,2928.97,2951.46,2836.74,2833.88,2846.90,2806.31,2826.59,2828.71,2832.23,2828.38,2833.74,2848.84,2840.10,2821.44,3013.68,2997.29,2955.62,2963.45,2970.94,3008.04,2969.84,2949.71,2820.80,2872.57,2855.80,2823.47,2978.08,3017.48,2999.64,2986.00,2947.23,2950.72,2945.68,2965.19,2888.22,2833.02,3054.58,2853.91
,3,2968.92,2991.39,2959.14,3008.06,2885.21,2885.77,2909.70,2925.27,2926.68,2897.62,2908.80,2926.28,2899.98,2892.06,2900.90,2855.52,2958.74,2988.53,2987.66,2958.54,3001.07,2970.72,2986.94,2969.85,2866.31,2876.78,2891.84,2889.00,2865.41,2882.82,2874.06,2867.87,2881.44,2895.25,2853.47,2894.47,3025.01,2995.94,2978.22,2983.01,2970.29,2996.33,3001.41,2986.93,2854.19,2912.16,2839.76,2846.07,2877.83,2904.08,2863.30,2845.39,2838.80,2859.61,2880.38,2855.22,2985.90,2979.26,2982.06,2984.28,2996.14,2987.76,2966.36,2915.49,2858.24,2857.81,2836.21,2856.85,2851.94,2851.71,2822.91,2836.27,2818.11,2794.00,2852.10,2838.09,2997.78,3032.94,2931.94,2954.78,2972.57,2981.65,2933.29,2951.76,2836.54,2834.79,2848.87,2804.73,2823.27,2835.99,2834.57,2832.40,2827.86,2849.55,2840.64,2818.71,3008.62,2999.25,2955.10,2963.63,2970.23,3007.14,2970.88,2948.55,2820.62,2873.21,2856.23,2826.20,2978.22,3014.87,2998.62,2983.59,2947.61,2958.15,2946.14,2965.60,2893.27,2828.94,3052.68,2856.61
,4,2965.40,2989.00,2957.34,3008.63,2887.89,2884.52,2909.61,2925.19,2926.17,2903.13,2907.68,2929.09,2897.17,2889.86,2906.80,2859.51,2961.97,2996.69,2995.31,2963.42,3000.00,2974.80,2984.14,2972.36,2868.18,2877.96,2888.15,2886.99,2869.75,2885.40,2878.69,2868.21,2879.04,2895.34,2856.38,2895.51,3026.51,2997.39,2982.76,2981.37,2973.98,2994.66,3004.22,2987.88,2856.58,2907.76,2842.46,2843.24,2882.82,2907.90,2863.65,2846.70,2837.76,2862.76,2877.45,2852.58,2987.57,2975.09,2983.09,2981.12,2996.52,2985.49,2966.07,2912.58,2855.34,2862.46,2833.28,2858.63,2856.61,2857.55,2830.97,2844.25,2811.98,2788.89,2845.31,2833.43,2994.58,3029.08,2934.87,2947.30,2971.15,2976.91,2927.96,2954.41,2837.15,2833.08,2848.31,2802.48,2828.70,2837.49,2837.92,2835.70,2828.57,2849.65,2837.46,2817.92,3008.62,2995.52,2957.92,2962.09,2967.63,3008.70,2967.57,2949.59,2821.19,2873.18,2853.91,2821.09,2973.33,3012.62,2996.32,2985.90,2947.22,2950.65,2946.69,2958.63,2892.85,2829.23,3053.90,2854.96
,5,2964.72,2991.74,2956.56,3004.97,2886.96,2888.60,2914.85,2925.36,2925.19,2900.40,2912.34,2935.10,2901.99,2888.78,2906.23,2865.42,2968.93,3001.67,3000.05,2972.00,2997.44,2974.18,2979.33,2969.64,2868.35,2874.92,2888.47,2887.16,2870.05,2889.24,2879.37,2872.10,2881.35,2895.07,2855.39,2894.49,3023.63,2998.05,2978.71,2983.62,2970.79,2991.55,3002.16,2987.71,2850.91,2906.83,2841.68,2843.65,2885.85,2911.28,2870.65,2850.94,2837.74,2860.79,2879.09,2856.66,2985.81,2980.81,2982.24,2980.51,2995.39,2988.08,2962.64,2914.34,2854.72,2862.20,2837.74,2857.38,2859.59,2865.84,2836.30,2848.40,2817.94,2787.52,2843.56,2833.47,2997.57,3029.12,2934.44,2946.40,2970.79,2978.82,2924.60,2950.21,2834.65,2834.99,2847.24,2804.64,2825.03,2839.51,2843.36,2838.81,2827.92,2849.74,2834.73,2821.37,3009.97,2998.49,2952.54,2959.92,2969.01,3002.09,2967.34,2944.26,2822.03,2874.65,2849.94,2821.12,2973.25,3012.64,2998.46,2981.70,2942.83,2950.69,2944.32,2959.25,2888.95,2830.16,3050.01,2852.13
,6,2965.17,2990.07,2956.67,3006.82,2896.49,2895.83,2916.84,2934.04,2939.06,2906.92,2917.35,2938.61,2907.33,2903.18,2913.50,2869.38,2985.50,3015.57,3015.48,2983.41,2998.25,2972.02,2984.39,2969.48,2870.46,2876.91,2891.40,2889.74,2881.38,2893.46,2884.70,2880.52,2877.78,2896.46,2857.11,2899.15,3028.05,3002.09,2981.46,2987.61,2972.75,2992.05,3000.23,2988.50,2855.40,2909.27,2840.61,2841.57,2891.93,2918.08,2876.91,2856.91,2837.61,2861.84,2875.53,2855.56,2988.79,2975.84,2980.11,2983.08,2994.98,2990.22,2959.35,2912.34,2855.24,2862.98,2837.06,2856.53,2870.49,2869.56,2841.41,2855.20,2816.58,2790.06,2849.22,2834.37,2990.64,3031.40,2938.08,2946.55,2971.69,2974.60,2930.92,2947.77,2835.05,2837.19,2841.89,2802.00,2826.84,2842.52,2848.05,2845.86,2827.76,2853.59,2838.55,2819.15,3009.18,2995.92,2955.49,2960.29,2967.31,3003.13,2961.95,2945.62,2817.18,2870.54,2852.42,2822.30,2974.90,3014.39,2994.90,2983.02,2939.97,2952.36,2940.78,2959.67,2883.91,2828.24,3051.35,2852.71
,7,2969.04,2989.47,2955.89,3006.39,2900.20,2906.77,2929.71,2942.40,2943.86,2914.95,2927.96,2950.29,2914.81,2902.74,2916.82,2877.66,3001.97,3040.07,3034.47,3004.71,2994.80,2974.95,2981.67,2970.75,2871.44,2877.81,2891.97,2893.44,2887.18,2907.54,2895.59,2890.16,2886.74,2907.29,2861.51,2905.16,3031.38,3001.42,2983.61,2987.01,2972.07,2996.30,3001.63,2988.86,2855.76,2909.22,2841.49,2846.34,2905.66,2932.69,2889.77,2866.92,2841.43,2864.43,2878.58,2856.42,2985.88,2975.88,2977.10,2979.44,2998.07,2991.30,2964.22,2911.98,2855.81,2863.89,2837.59,2856.15,2881.01,2882.08,2850.98,2867.12,2820.68,2791.27,2848.54,2839.48,2994.02,3026.76,2935.45,2946.46,2972.97,2974.58,2923.23,2949.30,2833.47,2836.81,2846.51,2803.87,2828.38,2854.00,2858.83,2854.13,2830.23,2850.11,2839.31,2817.45,3007.17,2996.81,2953.70,2960.05,2968.89,3004.31,2967.49,2943.68,2817.88,2873.14,2849.38,2823.62,2974.52,3013.77,2996.66,2982.40,2943.53,2950.78,2944.64,2955.42,2886.88,2827.32,3054.98,2854.04
,8,2969.89,2990.10,2955.32,3005.33,2915.61,2909.67,2940.69,2953.22,2957.57,2922.33,2936.19,2957.64,2924.68,2920.41,2930.82,2881.09,3027.50,3069.36,3065.66,3028.75,2998.31,2975.47,2985.01,2972.53,2875.36,2880.04,2895.24,2898.09,2903.67,2925.06,2911.13,2905.15,2892.11,2911.77,2867.76,2909.24,3036.54,3003.96,2989.10,2994.20,2970.98,2994.82,3004.45,2986.67,2853.41,2915.41,2844.18,2842.46,2925.07,2952.93,2905.87,2880.95,2843.23,2867.02,2885.34,2859.10,2988.53,2977.22,2981.75,2978.68,2998.44,2987.38,2959.09,2912.59,2854.52,2862.53,2837.47,2857.14,2900.14,2896.66,2864.14,2882.60,2819.03,2792.46,2852.57,2835.41,2994.16,3024.90,2932.88,2945.96,2973.31,2974.62,2925.71,2952.36,2835.47,2833.21,2847.75,2805.12,2826.52,2873.00,2872.58,2874.69,2830.62,2854.73,2839.08,2820.70,3006.82,2997.15,2951.54,2962.39,2966.98,3007.57,2965.00,2943.86,2815.21,2873.79,2847.63,2824.92,2973.29,3010.02,2993.35,2979.57,2941.51,2951.78,2944.34,2953.20,2886.07,2824.25,3052.45,2853.21
,9,2967.63,2987.01,2956.02,3006.08,2927.33,2929.75,2949.65,2970.36,2972.31,2940.18,2948.51,2972.86,2939.90,2929.72,2947.87,2895.12,3060.19,3106.33,3103.79,3069.20,2999.09,2972.38,2986.48,2970.12,2874.98,2883.80,2897.70,2894.07,2922.99,2941.20,2928.41,2921.74,2906.93,2925.69,2878.88,2921.99,3041.88,3009.54,2995.59,3003.92,2972.96,2993.82,3006.64,2991.40,2855.52,2909.93,2845.20,2844.75,2956.14,2985.06,2935.63,2908.15,2849.60,2875.66,2886.63,2867.25,2990.91,2974.30,2978.88,2980.58,2997.28,2991.17,2963.21,2913.45,2855.22,2860.86,2839.12,2859.45,2924.97,2927.26,2893.22,2910.58,2824.89,2797.15,2853.27,2842.74,2993.38,3025.11,2933.04,2944.26,2973.94,2973.49,2928.27,2949.17,2834.14,2831.00,2845.57,2801.42,2828.93,2899.80,2897.86,2900.25,2832.36,2853.29,2838.39,2822.87,3004.66,2999.50,2951.18,2958.38,2969.73,3004.69,2968.41,2940.73,2819.49,2873.60,2850.43,2823.61,2975.08,3010.95,2994.35,2984.30,2937.43,2947.16,2943.07,2953.90,2878.32,2824.82,3054.35,2852.61
,10,2967.95,2989.40,2954.18,3008.63,2946.96,2942.07,2966.53,2983.00,2985.21,2950.99,2965.28,2987.81,2955.40,2947.23,2964.07,2915.80,3100.43,3148.29,3143.45,3107.99,2999.74,2975.45,2988.64,2972.08,2881.03,2893.88,2904.66,2907.40,2944.15,2962.61,2951.96,2942.39,2913.44,2935.88,2890.25,2934.96,3055.58,3021.18,3006.75,3011.24,2973.47,2995.43,3000.40,2988.71,2854.42,2914.94,2845.49,2844.97,2983.93,3017.60,2963.38,2933.25,2860.06,2880.14,2892.03,2869.83,2992.63,2976.25,2981.15,2986.99,2998.02,2986.30,2959.54,2909.76,2855.13,2864.40,2836.40,2858.70,2961.75,2957.56,2919.03,2938.70,2829.40,2800.35,2858.70,2848.38,2992.55,3028.32,2934.69,2947.50,2972.41,2978.20,2925.12,2952.55,2832.46,2835.34,2843.83,2800.46,2824.82,2929.84,2931.60,2928.56,2831.42,2853.04,2839.09,2824.01,3006.71,2995.74,2948.93,2954.28,2971.24,3006.46,2968.47,2941.64,2813.67,2870.69,2852.62,2824.90,2974.75,3010.78,2995.34,2977.63,2937.44,2948.01,2938.24,2952.11,2879.99,2821.55,3049.35,2849.19
