,Cycle,A1,A2,A3,A4,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,B5,B6,B7,B8,C1,C2,C3,C4,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D5,D6,D7,D8,E1,E2,E3,E4,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,F5,F6,F7,F8,G1,G2,G3,G4,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,H5,H6,H7,H8,I1,I2,I3,I4,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,J5,J6,J7,J8,K1,K2,K3,K4,K9,K10,K11,K12,L5,L6,L7,L8,P1,P2,P3,P4,P9,P10,P11,P12
,1,2932.30,3001.70,2956.80,2992.07,2869.68,2897.77,2946.77,2971.75,2965.71,2936.38,2919.86,2912.85,2896.72,2888.93,2913.78,2845.63,3078.80,3078.15,3074.88,3058.82,2975.14,2957.68,2969.20,2969.54,2838.96,2879.69,2865.66,2860.05,2881.93,2886.60,2880.75,2854.50,2850.06,2868.40,2801.15,2852.14,3070.72,3084.06,3069.28,3070.69,2947.22,2967.49,2959.33,2971.28,2824.02,2867.46,2828.81,2856.97,2840.75,2879.41,2846.34,2845.39,2825.80,2839.79,2826.80,2801.46,3067.23,3044.07,3086.54,3082.38,2973.34,2975.38,2972.47,2993.63,2827.15,2870.27,2815.71,2867.58,2797.29,2839.13,2811.86,2810.96,2798.99,2770.38,2814.62,2808.99,3011.72,3052.04,3067.42,3008.62,2955.37,2985.86,2925.57,2994.26,2851.67,2849.04,2856.73,2829.72,2793.86,2816.52,2808.82,2805.01,2798.82,2821.73,2802.80,2794.53,3066.96,3014.97,3043.53,3048.83,3018.53,3002.80,2969.08,2956.17,2841.50,2864.22,2842.76,2816.18,3097.67,3072.05,3060.98,3076.55,3032.63,3078.36,3106.96,3063.70,2993.83,2907.36,2977.41,2937.52
,2,2932.14,2997.84,2958.42,2993.65,2868.02,2894.31,2943.38,2976.36,2967.42,2932.37,2919.27,2917.00,2901.40,2888.47,2916.55,2850.28,3077.66,3080.96,3078.23,3059.50,2970.78,2957.77,2962.95,2968.78,2839.50,2875.63,2859.53,2855.86,2878.00,2877.11,2878.02,2846.79,2851.73,2864.83,2805.38,2855.19,3063.09,3080.44,3067.19,3068.01,2947.20,2966.04,2965.13,2966.29,2823.16,2865.35,2832.22,2851.88,2836.93,2877.40,2850.47,2846.78,2822.46,2842.35,2827.84,2798.96,3064.35,3044.63,3087.43,3084.89,2971.56,2971.09,2968.89,2989.31,2822.07,2868.96,2816.35,2867.69,2802.35,2833.01,2807.83,2808.85,2798.20,2768.15,2812.56,2803.65,3008.04,3051.30,3066.36,3010.39,2956.77,2986.97,2920.17,2993.51,2849.03,2849.17,2854.85,2828.04,2790.55,2817.23,2809.68,2803.74,2802.34,2824.01,2804.77,2795.00,3070.20,3014.24,3041.37,3047.21,3017.57,2997.52,2966.26,2956.89,2839.00,2863.26,2844.31,2813.37,3091.76,3071.34,3058.94,3074.00,3033.27,3074.36,3107.65,3062.09,2994.91,2905.55,2980.29,2937.82
,3,2935.37,3000.09,2952.32,2993.21,2873.95,2893.41,2944.34,2971.99,2966.53,2935.81,2920.61,2913.51,2899.85,2892.56,2917.31,2849.12,3079.90,3081.93,3081.13,3065.34,2971.43,2954.12,2960.84,2967.77,2836.62,2876.07,2861.29,2854.84,2880.99,2882.68,2880.15,2849.14,2853.21,2866.77,2801.97,2855.52,3064.53,3086.10,3065.46,3066.73,2948.38,2965.75,2964.66,2967.29,2820.28,2866.78,2826.79,2852.56,2838.90,2879.19,2845.08,2842.84,2825.94,2839.62,2830.36,2801.47,3064.95,3037.55,3087.30,3086.15,2974.76,2968.34,2965.15,2992.07,2820.43,2866.57,2817.41,2867.93,2799.47,2831.16,2809.70,2808.20,2800.54,2769.02,2815.73,2807.62,3008.69,3050.44,3062.92,3010.55,2953.12,2988.93,2919.27,2993.45,2848.22,2848.56,2858.63,2827.98,2790.47,2811.26,2807.26,2801.90,2802.24,2828.62,2802.26,2795.76,3063.63,3008.78,3036.84,3048.22,3018.59,3000.78,2971.06,2954.75,2839.54,2866.37,2839.39,2814.29,3093.46,3067.31,3054.97,3076.16,3033.27,3075.54,3104.77,3061.36,2996.78,2908.96,2982.46,2938.04
,4,2938.76,2999.52,2960.55,2996.16,2874.33,2900.49,2946.00,2976.35,2970.04,2938.00,2923.07,2925.14,2902.43,2894.91,2918.96,2853.87,3090.30,3092.57,3090.17,3074.41,2969.42,2955.26,2957.01,2966.44,2838.66,2872.05,2860.41,2858.06,2881.37,2883.30,2879.62,2850.54,2857.84,2868.39,2806.97,2854.43,3068.28,3080.84,3066.54,3069.88,2946.87,2962.79,2960.54,2964.94,2821.41,2864.27,2826.77,2849.67,2836.79,2873.76,2847.70,2843.28,2825.51,2843.18,2829.68,2805.27,3065.62,3042.05,3086.11,3082.94,2967.86,2973.11,2966.40,2991.88,2825.19,2868.14,2816.72,2868.07,2802.06,2830.90,2807.63,2810.86,2804.10,2774.57,2816.90,2809.11,3009.43,3051.62,3062.99,3005.76,2958.52,2985.74,2920.32,2992.04,2847.84,2847.35,2858.30,2828.60,2788.85,2814.74,2807.97,2801.38,2806.11,2826.62,2806.48,2796.80,3070.50,3011.96,3042.49,3047.15,3016.04,2994.26,2967.46,2954.91,2837.09,2863.02,2843.44,2817.39,3092.21,3069.12,3058.71,3074.79,3035.41,3074.65,3105.01,3061.91,2992.68,2905.88,2981.76,2936.28
,5,2940.03,3002.73,2959.46,2995.21,2877.46,2901.29,2951.56,2979.00,2972.54,2940.25,2927.72,2922.84,2908.83,2899.98,2921.67,2857.25,3098.32,3103.47,3100.53,3084.50,2971.82,2955.30,2962.72,2965.07,2843.08,2878.16,2860.19,2856.92,2887.02,2887.75,2882.14,2857.47,2861.36,2873.51,2809.88,2860.06,3067.45,3088.34,3070.61,3071.15,2945.21,2960.26,2961.37,2964.01,2817.66,2862.56,2824.48,2853.46,2837.29,2881.09,2849.22,2843.05,2833.17,2846.86,2834.05,2812.61,3064.08,3038.31,3084.68,3081.07,2970.70,2969.80,2967.69,2994.05,2819.77,2866.45,2815.31,2866.12,2799.36,2834.73,2805.64,2808.53,2809.06,2775.37,2823.28,2812.61,3006.21,3049.99,3065.17,3003.16,2952.80,2982.27,2916.49,2991.93,2852.26,2846.35,2852.76,2829.08,2789.59,2814.39,2812.57,2803.19,2813.48,2836.92,2813.17,2806.53,3066.94,3017.57,3040.43,3046.56,3015.88,2994.54,2962.28,2954.42,2831.65,2861.95,2839.39,2815.76,3092.22,3066.60,3054.40,3070.12,3037.71,3074.64,3109.99,3063.73,2992.68,2905.37,2978.72,2933.57
,6,2942.87,3006.42,2960.25,2999.58,2884.78,2911.62,2962.43,2989.24,2980.47,2948.68,2935.83,2929.43,2915.68,2905.75,2931.87,2863.26,3119.60,3122.30,3124.68,3108.26,2968.25,2953.46,2957.57,2964.18,2835.44,2872.66,2859.79,2857.96,2889.39,2888.85,2883.81,2859.60,2871.21,2884.50,2816.58,2874.52,3070.51,3088.26,3069.22,3070.88,2944.17,2957.46,2961.61,2969.22,2820.73,2864.42,2827.85,2851.21,2835.40,2880.67,2847.15,2846.31,2840.48,2853.17,2844.22,2815.81,3065.90,3042.95,3082.54,3086.00,2968.96,2973.02,2967.49,2989.49,2819.87,2866.63,2816.11,2869.88,2801.81,2836.39,2810.33,2809.53,2813.99,2779.74,2828.92,2823.70,3004.01,3048.30,3062.82,3009.04,2952.80,2983.86,2916.20,2992.18,2845.47,2847.61,2854.92,2825.87,2789.85,2811.12,2806.92,2796.48,2816.86,2842.50,2818.59,2813.69,3066.52,3011.59,3041.20,3047.00,3014.98,2996.07,2963.50,2951.59,2834.84,2859.66,2837.49,2813.76,3091.40,3071.12,3056.12,3069.29,3041.99,3075.65,3108.59,3065.37,2993.72,2908.01,2983.61,2935.02
,7,2942.26,3009.15,2965.34,3004.59,2889.32,2922.69,2969.19,3002.35,2993.44,2960.36,2942.72,2944.78,2931.54,2915.90,2942.22,2876.84,3142.17,3146.60,3143.02,3134.29,2973.54,2951.47,2961.19,2968.91,2836.36,2876.01,2860.11,2860.38,2897.64,2894.67,2890.46,2866.50,2881.99,2896.56,2829.75,2885.80,3075.36,3093.53,3076.00,3073.78,2944.89,2962.44,2961.66,2964.52,2818.16,2863.81,2823.42,2851.05,2842.03,2885.97,2851.30,2851.79,2850.73,2869.87,2854.20,2829.11,3063.29,3040.99,3080.34,3082.21,2967.63,2966.49,2966.92,2989.07,2821.32,2867.95,2818.04,2871.53,2802.62,2832.91,2811.81,2812.33,2830.96,2793.36,2845.33,2838.37,3004.15,3050.59,3066.84,3006.72,2952.72,2981.82,2917.60,2992.64,2852.30,2843.29,2853.20,2828.11,2793.06,2815.24,2807.48,2803.29,2825.43,2854.95,2828.52,2824.68,3064.06,3019.29,3040.83,3049.52,3015.00,2996.34,2965.84,2953.74,2834.96,2864.13,2841.09,2812.28,3090.02,3066.73,3055.89,3071.70,3037.73,3080.36,3104.10,3060.70,2993.62,2905.82,2980.01,2936.71
,8,2948.51,3012.04,2970.55,3005.75,2909.45,2938.00,2985.49,3018.12,3010.58,2975.29,2959.69,2960.51,2940.76,2931.75,2962.25,2889.26,3184.07,3187.44,3182.66,3166.98,2970.01,2952.41,2961.36,2969.75,2841.75,2882.46,2864.46,2864.23,2903.47,2908.64,2898.55,2873.27,2901.05,2913.97,2846.55,2903.59,3083.85,3100.13,3077.22,3078.48,2941.22,2965.04,2960.52,2969.68,2819.56,2864.63,2825.18,2845.98,2845.02,2890.16,2854.45,2857.76,2870.90,2887.66,2875.00,2848.55,3064.47,3039.58,3087.53,3081.69,2968.14,2967.79,2965.02,2990.53,2818.38,2870.64,2813.02,2863.76,2804.22,2837.01,2809.61,2810.91,2842.72,2810.84,2863.91,2857.31,3004.73,3048.92,3065.01,3008.10,2951.66,2981.42,2915.18,2989.28,2846.19,2843.45,2848.35,2828.30,2787.07,2813.15,2808.57,2800.10,2846.34,2877.87,2848.52,2844.89,3068.60,3013.18,3037.94,3046.49,3016.80,2995.65,2964.03,2951.13,2833.15,2861.88,2836.48,2812.49,3092.09,3067.97,3055.22,3070.64,3036.17,3075.85,3111.82,3063.02,2993.19,2905.20,2980.43,2934.66
,9,2951.83,3021.97,2977.58,3014.46,2926.89,2958.67,3007.09,3035.67,3029.84,2994.26,2979.65,2980.19,2960.24,2953.88,2978.79,2907.52,3226.60,3231.72,3230.64,3218.61,2972.52,2957.31,2963.11,2976.05,2847.58,2886.32,2870.79,2870.06,2917.74,2921.93,2912.97,2891.79,2921.65,2942.51,2871.77,2929.37,3095.92,3110.32,3095.95,3094.48,2940.95,2962.47,2956.46,2968.81,2823.64,2868.53,2820.55,2847.42,2851.34,2900.29,2861.90,2860.36,2895.62,2915.81,2903.51,2876.91,3064.12,3042.05,3089.25,3086.53,2965.85,2968.77,2965.10,2991.82,2822.71,2868.82,2811.05,2864.80,2810.51,2841.49,2818.29,2820.30,2872.53,2834.96,2884.17,2885.47,3008.19,3048.57,3066.26,3011.09,2947.77,2979.15,2912.92,2988.06,2847.82,2849.40,2853.46,2828.95,2790.56,2811.72,2808.82,2801.62,2874.34,2903.33,2877.75,2872.81,3064.82,3018.65,3043.92,3046.79,3014.89,2992.62,2962.31,2952.10,2833.05,2859.11,2836.24,2810.97,3088.87,3070.59,3057.88,3068.04,3031.51,3072.59,3107.51,3063.87,2991.80,2902.88,2981.42,2934.35
,10,2962.92,3033.84,2982.04,3023.78,2946.33,2983.64,3030.18,3060.28,3053.67,3018.21,3005.17,3004.81,2979.13,2978.93,3000.17,2928.40,3277.89,3284.23,3279.49,3262.43,2970.89,2956.22,2968.61,2976.90,2853.37,2894.02,2873.82,2875.77,2933.42,2938.18,2925.71,2906.42,2948.93,2974.64,2898.66,2955.28,3111.17,3128.40,3107.77,3108.57,2941.51,2961.12,2959.65,2964.55,2819.42,2870.84,2827.84,2849.75,2859.48,2911.07,2873.62,2866.07,2928.88,2948.50,2934.49,2906.45,3067.83,3045.05,3094.81,3082.15,2965.76,2967.55,2965.45,2990.69,2817.25,2869.48,2814.25,2868.18,2813.11,2845.71,2816.41,2821.51,2902.62,2866.26,2918.90,2920.30,3005.09,3049.87,3069.83,3007.35,2949.17,2980.57,2912.62,2991.03,2843.68,2847.48,2851.79,2827.88,2788.35,2815.58,2809.41,2802.40,2906.63,2944.87,2912.49,2912.59,3067.41,3016.52,3041.84,3047.58,3018.15,2993.48,2965.01,2952.58,2835.11,2865.81,2839.39,2810.90,3092.65,3068.63,3057.55,3070.40,3034.41,3076.30,3104.03,3062.73,2992.21,2909.15,2986.11,2935.44
