,Cycle,A2,A4,A6,A8,A10,A12,B2,B4,B6,B8,B10,B12,C2,C4,C6,C8,C10,C12,D2,D4,D6,D8,D10,D12,E2,E4,E6,E8,E10,E12,F7,F8,F9,F10,F11,G1,G2,G3,G4,G5,H7,H8,H9,H10,H11
,1,2411.83,2444.47,2396.17,2414.51,2282.36,2362.53,2432.86,2408.87,2366.09,2465.59,2331.10,2397.05,2589.09,2384.18,2501.47,2507.17,2305.88,2488.09,2699.36,2398.46,2553.45,2539.32,2567.59,2252.54,2317.83,2422.87,2505.21,2523.93,2533.24,2442.56,2518.56,2558.95,2381.51,2528.00,2482.14,2398.37,2430.88,2324.50,2401.76,2384.18,2393.05,2438.14,2396.20,2515.85,2421.93
,2,2418.31,2440.08,2385.59,2413.02,2295.43,2364.16,2442.75,2404.69,2361.80,2468.34,2350.73,2406.09,2589.41,2385.89,2503.62,2509.49,2317.46,2493.13,2703.96,2401.29,2550.51,2543.05,2565.70,2260.40,2314.81,2418.90,2501.20,2525.21,2528.64,2451.60,2522.68,2561.95,2384.47,2534.01,2480.77,2399.15,2433.11,2331.00,2401.83,2384.19,2398.81,2442.83,2398.14,2519.69,2425.36
,3,2422.11,2440.05,2385.56,2418.00,2297.89,2365.00,2445.57,2407.23,2361.04,2468.21,2351.55,2411.54,2593.04,2387.57,2499.91,2507.94,2318.32,2492.67,2711.12,2400.62,2547.72,2546.19,2566.56,2258.77,2318.76,2420.26,2505.24,2522.47,2531.74,2448.58,2531.09,2562.30,2383.81,2536.48,2486.85,2399.67,2430.57,2325.70,2397.75,2389.15,2401.58,2443.77,2402.88,2520.45,2424.08
,4,2422.12,2445.27,2386.90,2416.53,2306.60,2365.47,2446.57,2409.20,2360.93,2469.25,2356.92,2414.75,2591.40,2389.28,2503.40,2506.38,2321.89,2490.24,2709.23,2398.94,2544.66,2543.40,2568.83,2260.84,2317.68,2421.96,2504.81,2520.66,2527.60,2448.62,2518.06,2562.05,2385.61,2538.91,2486.99,2402.82,2433.07,2327.12,2405.33,2388.91,2403.98,2446.78,2402.37,2522.82,2429.38
,5,2424.37,2442.46,2384.19,2417.98,2306.93,2363.60,2444.00,2409.89,2358.66,2470.29,2356.24,2411.31,2592.50,2393.07,2500.65,2504.54,2325.80,2487.44,2707.42,2400.83,2546.64,2545.34,2567.63,2261.53,2319.72,2421.44,2506.25,2526.34,2528.58,2454.77,2525.29,2562.01,2387.23,2541.45,2489.33,2402.97,2429.64,2328.44,2400.22,2385.67,2402.41,2445.56,2404.02,2519.60,2430.44
,6,2426.35,2440.97,2380.55,2420.12,2309.40,2363.87,2445.04,2408.87,2354.60,2465.70,2354.71,2412.46,2594.51,2388.60,2498.54,2510.04,2324.12,2487.44,2710.73,2396.78,2545.37,2541.08,2567.89,2262.14,2318.86,2422.43,2501.47,2525.25,2530.91,2456.16,2524.11,2559.04,2387.80,2542.36,2491.92,2403.24,2432.21,2327.40,2402.02,2383.61,2406.78,2444.05,2403.00,2519.29,2426.22
,7,2431.74,2445.12,2382.18,2414.98,2309.48,2362.42,2447.02,2412.16,2359.39,2471.36,2357.49,2411.25,2591.61,2386.60,2498.06,2504.11,2330.24,2490.65,2705.47,2400.35,2547.40,2545.56,2570.49,2263.28,2322.91,2422.50,2502.41,2524.15,2526.38,2452.09,2523.96,2557.28,2387.85,2543.51,2494.75,2402.62,2429.92,2330.76,2404.63,2386.16,2401.69,2445.82,2402.32,2524.28,2434.82
,8,2429.41,2442.30,2383.93,2417.15,2309.28,2363.25,2447.44,2403.81,2357.37,2468.04,2360.97,2413.27,2595.64,2386.53,2500.02,2505.03,2330.02,2489.02,2703.77,2403.17,2542.99,2540.89,2572.57,2265.61,2322.32,2417.86,2502.04,2523.13,2525.62,2454.87,2520.71,2559.80,2388.19,2545.75,2494.51,2405.18,2434.87,2328.13,2400.90,2384.44,2406.45,2443.90,2403.24,2521.42,2430.33
,9,2433.38,2443.12,2381.14,2415.08,2311.41,2361.81,2448.53,2406.56,2355.58,2468.83,2362.41,2411.18,2595.12,2390.58,2495.46,2505.64,2330.63,2491.44,2706.04,2399.74,2542.14,2539.28,2568.87,2267.20,2321.86,2418.44,2499.41,2520.76,2526.05,2453.90,2520.11,2560.30,2385.13,2546.84,2494.46,2406.41,2436.70,2328.00,2404.45,2386.74,2403.63,2446.67,2402.77,2520.82,2428.16
,10,2437.83,2446.69,2380.05,2419.62,2314.92,2361.47,2446.36,2407.40,2353.60,2469.85,2361.62,2410.50,2594.53,2391.94,2493.43,2501.73,2331.66,2494.53,2705.49,2397.73,2544.92,2544.01,2571.13,2266.81,2318.76,2422.03,2499.30,2525.47,2528.83,2449.54,2520.88,2558.10,2388.00,2545.75,2492.95,2405.29,2436.00,2326.73,2399.63,2387.09,2400.83,2443.75,2402.08,2527.13,2426.86
