"Un Spliced bZIP60","Spliced bZIP60","MarkerMarker Name 115","MarkerMarker Name 288","MarkerMarker Name 317","MarkerMarker Name 208","MarkerMarker Name 213","MarkerMarker Name 263","MarkerMarker Name 101","MarkerMarker Name 311","MarkerMarker Name 124","MarkerMarker Name 287","MarkerMarker Name 198","MarkerMarker Name 293","MarkerMarker Name 394","MarkerMarker Name 171","MarkerMarker Name 55","MarkerMarker Name 298","MarkerMarker Name 302","MarkerMarker Name 181","MarkerMarker Name 192","MarkerMarker Name 408","MarkerMarker Name 214","MarkerMarker Name 281","MarkerMarker Name 199","MarkerMarker Name 157","MarkerMarker Name 161","MarkerMarker Name 328","MarkerMarker Name 120","MarkerMarker Name 50","MarkerMarker Name 384","MarkerMarker Name 423","MarkerMarker Name 135","MarkerMarker Name 375","MarkerMarker Name 59","MarkerMarker Name 148","MarkerMarker Name 54","MarkerMarker Name 334","MarkerMarker Name 4","MarkerMarker Name 322","MarkerMarker Name 61","MarkerMarker Name 242","MarkerMarker Name 323","MarkerMarker Name 159","MarkerMarker Name 272","MarkerMarker Name 297","MarkerMarker Name 172","MarkerMarker Name 365","MarkerMarker Name 275","MarkerMarker Name 354","MarkerMarker Name 337","MarkerMarker Name 320"
"","","3","2","8","5","7","2","5","1","7","2","5","2","1","5","6","3","9","9","6","4","3","2","1","1","4","3","1","8","1","3","1","5","3","9","1","2","5","4","3","6","3","6","8","7","2","9","1","7","4","2"
"","","215088631","130279105","155077201","169457602","165910159","46059058","28064263","77145631","23951557","146052200","200597078","22967987","194659786","190242272","138972179","88387412","25073659","154025107","80865501","195796823","220028220","185646897","251163654","80620983","2693837","218114442","178477561","114556618","84746044","86197624","92871257","190959836","224016108","111117695","179646512","33499920","188967522","73366723","15049993","164684407","9313610","62136495","33137153","15155655","15210102","5014296","210465212","165474521","197818508","143049953"
"1776.546328","1269.8339","A","B","B","A","B","A","B","A","A","A","A","B","B","B","A","A","A","A","B","B","B","B","B","B","A","A","A","B","B","A","A","B","B","A","A","B","B","A","B","A","A","B","B","B","A","A","A","B","A","A"
"1550.198655","1317.6039","B","A","A","B","A","A","A","A","B","B","B","A","B","A","B","A","A","B","B","B","N","A","B","B","A","B","A","B","B","A","A","A","N","B","A","A","A","A","B","B","A","B","B","A","A","A","A","A","A","B"
"3189.545569","1434.5302","A","A","B","A","A","B","A","B","B","A","N","A","A","N","B","A","B","B","B","B","B","N","A","A","B","A","B","B","A","A","B","N","B","B","B","A","N","B","B","A","A","B","B","A","B","B","A","A","A","A"
"1137.348759","1468.5198","B","B","A","B","B","A","B","B","A","A","A","B","A","B","B","A","B","A","A","B","A","N","B","A","B","B","B","B","A","A","B","B","N","A","B","B","B","A","B","B","A","A","B","B","A","B","A","B","A","A"
"1338.096224","1536.4642","B","A","B","B","A","B","A","A","A","A","B","B","A","A","B","A","B","A","B","B","A","B","A","B","A","B","A","B","B","A","A","A","A","A","A","B","A","N","B","N","A","B","B","B","B","A","A","A","A","N"
"2431.763879","2085.2628","B","A","B","N","A","B","A","A","B","B","A","A","A","B","B","A","B","A","A","B","A","A","B","N","B","B","B","B","N","A","B","B","A","B","B","A","B","A","B","B","A","A","B","A","B","A","A","A","A","B"
"5037.010741","2234.2403","A","A","B","A","B","B","A","N","B","B","A","A","A","B","A","B","B","B","B","B","B","B","A","N","A","A","B","B","N","A","N","B","B","B","B","B","B","B","A","B","B","B","B","A","B","A","A","B","A","B"
"5762.520828","2903.9095","B","B","B","B","A","B","B","A","A","N","N","A","B","B","A","N","B","B","A","A","A","N","A","B","B","B","A","B","B","B","A","B","A","B","A","A","B","B","B","B","A","A","B","B","B","B","B","A","B","N"
"6442.861603","3648.7611","B","A","A","A","B","N","B","B","B","A","A","B","B","B","B","B","B","B","N","A","A","A","B","A","B","A","B","A","A","B","B","B","A","B","B","B","B","A","A","A","B","N","A","A","N","A","B","A","B","A"
"5134.547603","1156.7252","B","A","B","B","A","B","B","A","B","B","B","B","B","A","A","B","B","B","A","A","A","A","B","B","B","B","A","B","B","B","A","A","B","A","A","A","A","B","A","A","B","A","B","A","B","A","B","A","B","B"
"2900.433603","1189.0738","B","B","A","B","A","A","A","B","B","B","B","B","A","A","B","B","A","A","A","A","B","A","A","A","B","A","B","A","A","B","B","A","B","A","B","B","A","B","A","B","B","A","A","A","A","B","A","A","B","B"
"585.7752759","1775.3041","B","A","A","A","A","B","B","A","B","B","A","B","B","N","N","B","B","A","N","N","A","A","A","B","B","B","A","A","B","B","A","N","B","B","A","B","N","A","A","A","B","N","B","A","B","N","B","A","N","B"
"1954.899121","1104.0883","A","A","B","B","B","B","B","B","B","A","A","B","A","A","A","B","A","A","B","B","B","B","N","A","B","A","B","B","A","B","B","A","B","B","B","B","A","A","B","A","B","B","B","A","B","A","B","B","A","A"
"1502.648052","1342.4491","B","B","A","B","B","B","A","A","B","A","B","A","A","A","B","B","B","B","B","B","A","B","A","N","A","B","N","N","N","B","N","A","A","B","N","A","A","B","A","B","B","B","N","A","B","A","A","B","A","A"
"173.2551379","786.2586","B","A","A","A","A","B","B","A","B","A","A","B","N","B","B","A","A","A","A","A","A","B","A","B","A","B","A","A","B","A","A","B","A","B","A","B","B","A","B","B","A","A","A","A","B","B","A","A","B","A"
"150.8565517","932.983","A","B","B","B","B","A","A","A","A","A","A","B","B","B","B","B","A","B","A","B","B","A","B","B","A","A","A","N","B","B","A","B","B","A","A","B","B","B","A","A","B","A","B","B","A","A","B","B","A","A"
"5464.26815","2689.3033","B","A","A","B","A","B","B","A","B","B","A","A","A","B","B","A","A","B","A","B","A","A","A","A","B","B","B","A","B","A","A","N","A","A","B","A","N","B","B","A","A","A","B","A","B","A","A","A","A","B"
"1646.65195","2031.2283","B","N","A","A","A","B","A","B","A","B","A","A","N","B","B","A","B","A","A","B","A","B","A","A","B","B","N","B","A","A","B","B","A","B","N","A","B","B","B","A","A","A","B","B","B","A","B","A","A","B"
"4468.1133","3030.227","B","B","B","A","N","A","B","A","B","A","A","N","B","B","B","B","B","A","A","B","A","B","A","B","N","B","A","A","B","B","A","B","A","B","A","N","B","A","A","B","B","A","A","A","A","A","A","A","A","A"
"882.82225","1610.6935","B","B","A","A","A","A","A","A","N","B","A","A","B","B","B","B","A","B","B","B","A","A","B","B","B","B","A","A","B","B","A","B","B","N","A","A","B","B","A","B","B","B","A","N","A","B","B","A","A","B"
"4516.5961","2255.8126","B","A","A","A","B","B","B","B","B","A","A","A","N","B","B","B","B","A","N","B","A","B","A","N","B","B","A","A","N","B","A","B","A","B","A","A","B","B","A","B","B","B","B","A","B","B","B","B","N","A"
"5452.1723","2662.4996","B","B","A","B","B","A","B","A","A","B","B","N","B","A","B","A","A","B","B","A","A","B","B","B","B","A","A","A","B","A","N","A","A","A","A","N","A","B","A","B","B","B","A","N","A","B","B","N","B","B"
"4115.0029","2017.4354","B","A","B","A","N","B","N","N","N","A","A","B","A","B","B","A","N","B","B","N","N","B","B","A","B","B","B","N","A","N","B","B","N","B","B","N","B","N","A","A","N","B","B","A","B","A","N","A","B","A"
"3076.09325","2435.5588","B","A","A","A","A","B","B","B","B","A","A","B","A","B","B","A","A","B","B","B","B","A","B","A","A","A","B","A","A","A","B","B","B","A","B","B","B","N","B","B","A","N","A","A","B","B","A","A","A","A"
"4702.07145","2158.8519","B","A","A","B","B","A","N","A","A","A","B","B","B","A","A","A","B","B","A","B","A","B","B","B","B","B","A","B","B","A","A","A","A","B","A","B","A","A","B","B","A","A","A","B","A","B","A","B","B","A"
"500.7903","1058.7042","A","A","B","B","B","B","B","B","B","A","A","A","B","B","A","B","A","A","B","B","B","B","B","A","B","A","A","A","A","B","B","B","B","A","A","A","B","A","A","B","B","B","A","A","B","A","A","B","A","A"
"2120.59215","1387.1085","N","B","N","N","N","A","N","B","N","N","N","N","B","N","N","N","N","N","A","N","N","N","N","B","N","N","A","N","B","N","A","N","N","A","A","N","N","N","B","B","A","A","N","N","A","A","B","N","N","N"
"3641.5048","1498.7177","A","A","A","N","B","A","A","A","B","A","A","B","B","B","A","A","N","B","A","B","B","B","B","B","A","A","A","B","B","N","A","B","B","N","A","B","A","A","N","A","B","A","B","A","A","B","B","B","A","A"
"4640.00605","1149.2271","A","B","B","A","B","B","A","A","B","B","A","B","B","A","A","A","B","A","B","A","B","A","B","B","A","A","A","N","B","A","A","A","A","B","A","B","A","A","B","B","A","B","A","A","B","A","B","B","B","B"
"962.47935","1124.3789","A","A","A","N","A","B","A","N","B","A","N","B","B","B","A","B","A","B","A","B","B","B","A","A","B","B","N","A","B","B","N","N","B","A","A","B","N","A","A","B","B","A","A","A","B","A","B","B","A","A"
"1452.4172","1792.0341","B","B","N","A","B","A","B","B","A","A","A","A","A","B","B","A","B","N","N","B","A","A","A","A","B","B","B","A","A","A","B","B","N","B","B","A","B","B","B","B","A","N","A","A","A","B","A","B","A","A"
"5386.3614","1241.167","A","B","N","A","A","A","B","A","A","A","A","B","B","B","A","A","A","A","A","A","B","B","B","B","B","A","A","A","B","A","A","B","B","A","A","B","B","B","B","B","A","A","A","B","A","A","B","A","B","A"
"5558.773","2858.346941","A","A","A","B","A","B","A","A","B","A","A","A","B","A","A","B","B","A","A","B","B","B","A","B","A","A","A","B","B","B","A","A","B","N","A","B","A","B","A","B","B","A","B","A","B","A","B","A","A","A"
"2907.3985","1883.292163","A","A","B","B","B","A","A","B","B","A","B","B","A","A","B","A","B","A","A","B","N","B","A","A","A","A","B","N","A","A","B","A","A","A","B","B","A","A","B","B","A","A","A","A","A","B","B","B","A","A"
"1836.085","2181.504258","A","A","B","A","B","B","B","B","B","A","A","B","A","B","B","A","B","A","N","B","B","B","B","A","A","A","B","A","A","A","B","B","A","B","B","N","B","A","B","B","A","N","A","A","B","B","A","B","A","A"
"4545.248","2256.306297","A","A","A","B","A","B","A","B","B","A","B","A","B","A","A","A","B","A","N","B","B","B","A","A","B","A","B","B","A","A","B","A","B","B","B","B","A","B","B","B","A","A","A","A","B","B","B","A","A","A"
"1390.1605","4802.710601","B","B","B","B","B","A","A","A","N","A","B","B","B","A","B","A","B","A","A","B","A","B","A","A","B","B","A","N","B","A","A","A","A","A","A","B","A","B","B","N","A","A","A","A","A","A","B","B","A","A"
"4429.2125","2342.385036","B","B","B","A","A","A","A","B","B","A","A","A","B","B","B","A","N","B","A","A","A","A","B","A","B","B","B","B","A","A","B","B","A","A","B","A","B","B","B","N","A","A","B","A","A","B","B","A","B","A"
"3558.8485","2359.495239","A","B","A","A","B","A","A","B","A","A","A","A","A","B","B","A","B","B","B","A","B","B","A","A","B","A","B","A","A","A","B","B","A","B","B","B","B","N","B","B","A","A","A","B","A","B","A","A","B","A"
"4803.7125","3275.645794","B","B","B","B","A","A","A","A","A","B","B","A","B","B","B","B","B","A","B","B","A","A","A","B","B","B","A","B","B","B","A","A","A","B","A","A","A","A","A","N","B","B","B","B","A","A","B","A","A","B"
"2971.2525","2444.705562","B","N","B","B","A","A","A","A","B","A","B","B","B","A","A","B","B","B","B","B","A","B","B","B","A","B","N","A","B","B","A","A","A","B","N","B","A","B","N","B","B","B","A","A","A","B","B","A","A","A"
"3197.7525","1724.778686","A","B","B","B","B","A","B","A","B","A","B","B","A","A","A","A","B","A","B","B","B","A","B","B","B","A","A","A","B","A","A","A","B","B","A","B","A","B","B","A","A","B","A","A","A","B","A","B","A","A"
"6570.491","4846.093408","A","A","B","B","B","B","B","B","B","B","B","A","B","A","A","A","A","A","B","A","A","A","B","A","A","A","A","B","A","A","B","A","B","B","A","A","A","N","B","B","A","B","B","A","B","A","A","B","B","B"
"1480.393","2266.274108","B","B","B","B","N","A","A","A","A","B","B","A","B","A","B","B","A","B","B","B","A","A","B","B","B","B","A","B","A","B","N","A","A","B","A","A","A","B","A","B","B","B","B","B","A","A","B","A","A","B"
"2400.439","2061.958637","A","B","B","A","A","A","B","A","B","B","A","A","B","A","B","A","B","B","A","B","B","A","B","B","B","A","A","B","B","A","A","A","B","B","A","A","A","B","B","B","A","B","B","A","A","B","B","N","A","B"
"54.0815","2026.61367","B","A","A","B","A","B","A","B","B","B","A","A","A","A","A","A","N","A","A","B","A","A","B","A","A","B","B","A","A","A","B","A","A","A","B","A","A","A","B","B","A","A","A","A","B","A","A","A","N","B"
