"","SNP Name","Position (cM)","Mean LOD","Mean P Value","Variance LOD","Variance P Value","Joint LOD","Joint P Value","A Mean Est","A Mean Lower Bound","A Mean Upper Bound","A Standard Deviation Est","A Standard Deviation Lower Bound","A Standard Deviation Upper Bound","B Mean Est","B Mean Lower Bound","B Mean Upper Bound","B Standard Deviation Est","B Standard Deviation Lower Bound","B Standard Deviation Upper Bound"
"1","gpm27",0.01,12.248405053905,0.000465656010165639,3.61567308302779,0.0572375561227746,15.7015028566169,0.000389459207598635,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572
"2","tub1",0.81,8.84068737438446,0.00294588173641731,3.94034450616283,0.0471411225025111,12.8292001603575,0.0016374746357736,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147
"3","gpm113b",0.82,8.80304052317178,0.00300728949439264,3.94074013417008,0.0471300373619385,12.7967851775671,0.00166423022666382,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518
"4","gpm705a",0.84,9.00001711813311,0.00269977077505676,3.80736461434118,0.0510276777780864,12.8414596435205,0.00162746803966623,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601
"5","gpm325a",4.97,7.86549891139238,0.00503869218138427,4.92863503224149,0.026415174547014,12.774162397673,0.00168316185337112,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113
"6","dmt103b",6.89,8.45184530886868,0.00364673243735583,5.31142525483572,0.0211860175049562,13.8199285344106,0.000997793449795822,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251
"7","gpm699d",8.67,8.98429745723377,0.0027230946419616,5.30432717350918,0.0212725143579054,14.2515196433701,0.000804121788771877,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486
"8","gpm319",14.82,12.3779996589532,0.000434422314117833,8.17792394096515,0.00424032623707365,21.0487249989508,2.68736985301166e-05,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576
"9","IDP1447",19.92,0.204207186047808,0.65134614515592,13.7014515916896,0.000214288791958922,13.9095351326929,0.000954075674442949,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175
"10","bnl5.62a",21.12,0.170182554473586,0.679949616702002,13.2945798710237,0.000266174483784317,13.4597687662712,0.00119467107428033,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878
"11","IDP1464",21.17,0.170193440818828,0.679939947918173,13.2945626974817,0.000266176921894339,13.4597605696083,0.00119467597044843,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844
"12","fus6",22.62,0.250264550683232,0.616888860775602,13.4835544343653,0.000240663474495283,13.7223362663649,0.00104768937681896,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697
"13","AY109692",23.62,0.202558500797186,0.652663575501987,13.6774612138727,0.000217043841353847,13.8777163004382,0.000969375847054176,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002
"14","mmp102",24.42,0.0927929849158205,0.760656035201596,10.6058593848989,0.00112729850103446,10.7016906251479,0.00474413902359446,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265
"15","AY110314",29.42,1.09768297528684,0.294775157232309,13.2238498244203,0.00027640928981439,14.4869850326924,0.000714810906739489,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976
"16","umc94a",38.62,1.05704034035042,0.303891186601034,0.917874400894613,0.338033704809916,2.00354314571649,0.367228292886972,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993
"17","gpm331",38.71,1.06763750128381,0.301479688643216,0.913773700644384,0.339115123613538,2.0100260960824,0.366039858669699,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391
