VAR1,SNP_Names,Position__cM_,Mean_LOD,Mean_P_Value,Variance_LOD,Variance_P_Value,Joint_LOD,Joint_P_Value,A_Mean_Est,A_Mean_Lower_Bound,A_Mean_Upper_Bound,A_Standard_Deviation_Est,A_Standard_Deviation_Lower_Boun,A_Standard_Deviation_Upper_Boun,B_Mean_Est,B_Mean_Lower_Bound,B_Mean_Upper_Bound,B_Standard_Deviation_Est,B_Standard_Deviation_Lower_Boun,B_Standard_Deviation_Upper_Boun,Joint_P_Value_S3,Joint_P_Value_T3,,jQTL_ID,Joint_P_Value_S5,Joint_P_Value_T5,Joint_P_Value_S7,Joint_P_Value_T7,Joint_P_Value_S9,Joint_P_Value_T9
1,gpm27,0.01,3.106120389,0.211599447,8.258105766,0.016098118,8.885150152,0.064035173,61.57592593,61.08199289,62.06985897,9.889195597,9.023376301,10.83809278,62.72888889,62.0817671,63.37601068,11.69966271,10.58238364,12.93490317,0.290375653,0.064505286,FALSE,,0.298514636,0.101874729,0.298942898,0.138340267,0.299340197,0.180071124
2,tub1,0.81,4.120577825,0.127417152,8.958929761,0.01133948,10.23119982,0.036708129,60.77358491,60.28017908,61.26699073,9.586823597,8.755031696,10.4976418,60.80297398,60.18908513,61.41686282,11.28109316,10.26405077,12.39891205,0.290375653,0.093549091,FALSE,,0.298514636,0.132196414,0.298942898,0.16841432,0.299340197,0.205060554
3,gpm113b,0.82,4.076376223,0.130264522,8.983278826,0.011202264,10.20369504,0.037132751,61.13200723,60.63724802,61.62676645,7.729614941,6.979989206,8.559747783,62.9280397,62.23438415,63.62169526,8.978853978,7.967529333,10.11854684,0.295239371,0.124538246,FALSE,,0.298514636,0.163590956,0.298942898,0.199573412,0.299340197,0.235921193
4,gpm705a,0.84,3.865947175,0.144717229,7.932798889,0.018941511,8.995931654,0.061201251,61.66358595,61.1240076,62.20316431,9.007727141,8.159313005,9.944360291,61.9137577,61.32041442,62.50710098,9.345964977,8.42060443,10.37301563,0.296691281,0.153156596,FALSE,,0.298514636,0.195770961,0.298942898,0.229778728,0.299340197,0.266934188
5,gpm325a,4.97,2.751583894,0.25263944,4.851043863,0.088431952,5.893457046,0.207247508,60.82263514,60.3154048,61.32986547,7.830234583,7.082725773,8.656635254,62.92122538,62.30671759,63.53573318,8.241242141,7.351875801,9.238196328,0.296691281,0.153156596,FALSE,,0.298514636,0.227228531,0.298942898,0.260998131,0.299340197,0.295976126
6,dmt103b,6.89,4.172109985,0.124176046,6.428754529,0.040180348,7.669548677,0.104461167,60.57361963,60.09191278,61.05532648,10.98201985,10.11740363,11.92052472,61.19066937,60.55557906,61.82575968,12.5133535,11.38723694,13.75083495,0.296720159,0.301662704,FALSE,,0.298514636,0.256003988,0.298942898,0.293111436,0.299340197,0.327601412
7,gpm699d,8.67,0.150055944,0.927717536,1.831643993,0.400187538,2.039070077,0.728572796,61.55300353,61.05722366,62.04878341,10.12110139,9.253790013,11.06970151,62.4789357,61.8253208,63.13255059,11.79183897,10.66581878,13.03673624,0.320179701,0.301662704,FALSE,,0.298514636,0.256003988,0.298942898,0.323383218,0.299340197,0.12585815
8,gpm319,14.82,1.924179429,0.382093585,1.690607539,0.429426892,3.803734053,0.433218658,60.375,59.8688092,60.8811908,10.64698438,9.750609487,11.62576314,63.4086758,62.77927652,64.03807508,11.49532211,10.39251472,12.71515451,0.320179701,0.301662704,FALSE,,0.31691123,0.431199908,0.298942898,0.351916427,0.299340197,0.1405601
9,IDP1447,19.92,2.965563979,0.227005283,5.346440567,0.069029572,6.196933227,0.184915982,60.35839161,59.82821276,60.88857046,12.51192469,11.50342879,13.60883457,61.3989547,60.83298092,61.96492849,13.37558754,12.29928014,14.54608236,0.345276147,0.301662704,FALSE,,0.31691123,0.431199908,0.298942898,0.12106526,0.299340197,0.158097072
10,bnl5.62a,21.12,4.31985243,0.115333631,5.00887686,0.081721477,6.408152379,0.170670307,60.37163375,59.83316243,60.91010507,8.534326922,7.718758456,9.436068823,60.98653846,60.3987233,61.57435362,8.926940142,8.045546214,9.90489125,0.348874859,0.301662704,FALSE,,0.31691123,0.431199908,0.298942898,0.361248894,0.299340197,0.176378304
