Column1,names,allpos,pvalRandom,pvalFamily,average
583,gpm7,1298.15,7.21E-14,5.77E-15,3.89117E-14
581,umc1262a,1294.11,7.13E-13,1.35E-13,4.24104E-13
582,umc1261a,1295.61,1.86E-12,1.51E-14,9.37362E-13
580,gpm77,1293.42,1.62E-11,6.88E-15,8.0877E-12
579,IDP225,1292.04,1.81E-10,1.13E-12,9.08424E-11
2783,bnlg244,6187.62,3.20E-10,6.18E-12,1.63049E-10
2503,gpm932g,5502.56,4.55E-10,4.44E-16,2.27638E-10
2784,bnlg1401,6192.52,2.83E-10,2.99E-10,2.90803E-10
2782,mmp162,6184.02,6.22E-10,1.23E-10,3.72728E-10
2947,gpm1,6466.75,1.24E-09,9.11E-12,6.23597E-10
375,lim254,758.74,2.99E-09,1.24E-09,2.11477E-09
2785,gpm79a,6194.64,3.33E-09,1.58E-09,2.45308E-09
1325,umc1117,2978.51,4.22E-09,2.34E-09,3.27863E-09
2504,gpm850a,5502.57,8.96E-09,1.49E-14,4.47794E-09
592,IDP3802,1316.7,7.29E-09,3.72E-09,5.50575E-09
2786,gpm252a,6195.43,2.30E-09,1.57E-08,9.00027E-09
2188,umc62,4718.93,1.73E-08,6.62E-10,9.0018E-09
1324,gpm415b,2978.5,9.94E-09,8.70E-09,9.32246E-09
416,IDP2516,841.93,8.71E-09,1.10E-08,9.85594E-09
415,umc2047,840.75,8.71E-09,1.18E-08,1.02559E-08
2210,IDP1417,4763.42,1.39E-08,1.17E-08,1.28227E-08
2209,gpm876,4761.85,2.67E-08,9.71E-10,1.38385E-08
2186,gpm378,4715.19,3.81E-08,6.55E-15,1.90295E-08
1332,bnlg490,2997.82,4.00E-08,1.28E-11,1.99865E-08
2208,csu582,4757.7,7.09E-08,1.22E-13,3.54572E-08
655,bnlg108,1447.32,6.52E-08,1.43E-08,3.97382E-08
2787,gpm864b,6195.7,4.18E-10,9.85E-08,4.94591E-08
2187,bnlg1740,4715.73,1.08E-07,4.84E-14,5.37861E-08
414,glb1,837.75,7.12E-08,4.81E-08,5.96559E-08
587,gpm31a,1305.81,1.56E-11,1.21E-07,6.05078E-08
2191,AY109996,4727.03,6.95E-08,9.56E-08,8.25446E-08
417,gpm138b,842.79,2.68E-08,1.40E-07,8.34022E-08
418,IDP3798,843.45,3.55E-08,1.36E-07,8.57453E-08
1333,gpm145c,3004.28,1.75E-07,6.95E-12,8.72868E-08
2185,gpm289b,4712.87,1.76E-07,1.54E-12,8.81536E-08
419,umc140a,844.55,3.60E-08,1.45E-07,9.05102E-08
199,asg3,400.27,1.83E-07,4.73E-12,9.13452E-08
420,bnlg1331,845.45,3.07E-08,1.53E-07,9.18665E-08
202,gpm305,405.38,1.85E-07,8.59E-14,9.26241E-08
594,gpm359d,1319.74,2.40E-07,1.12E-08,1.25456E-07
404,AY109506,809.45,1.40E-11,2.57E-07,1.28507E-07
405,nfc103a,809.71,1.41E-11,2.58E-07,1.29007E-07
586,AY106040,1304.51,1.62E-11,2.62E-07,1.31008E-07
403,IDP630,808.81,1.53E-11,2.73E-07,1.36508E-07
206,lim497,412.08,3.15E-07,9.68E-14,1.57373E-07
1326,lim415,2983.61,3.29E-07,1.36E-10,1.64598E-07
