"","SNP Name","Position (cM)","Mean LOD","Mean P Value","Variance LOD","Variance P Value","Joint LOD","Joint P Value","Mean Est Intercept","Mean SE Intercept","Var Est Intercept","Var SE Intercept","Mean Est QTL","Mean SE QTL","Var Est QTL","Var SE QTL","Mean Est Low Water","Mean Est Low Nitrogen","Mean Est Pathogen","Mean Est Low_W_N","Mean SE Low Water","Mean SE Low Nitrogen","Mean SE Pathogen","Mean SE Low_W_N","A Mean Est","A Mean Lower Bound","A Mean Upper Bound","A Standard Deviation Est","A Standard Deviation Lower Bound","A Standard Deviation Upper Bound","B Mean Est","B Mean Lower Bound","B Mean Upper Bound","B Standard Deviation Est","B Standard Deviation Lower Bound","B Standard Deviation Upper Bound"
"1","gpm27",0.01,14.8715661539488,0.000115084684655964,1.91032016852269,0.166927698162262,16.7414108391479,0.000231552154690113,70.922804479677,0.33008067744061,4.72933289254333,0.0648021340436075,-1.1332705897898,0.136191002246584,-0.0520708267151678,-0.0520708267151678,4.17977492212094,-16.1774875287841,-1.70294893431071,1.25484159706228,0.358838145288446,0.427306810067891,0.269408329972082,0.552717432237789,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572
"2","tub1",0.81,11.8353612082649,0.000581164238887974,2.38479636473988,0.122520856880142,14.3221506983619,0.000776219397362786,70.8087123694632,0.331320899854906,4.73644519418431,0.0685398859553238,-1.00325002322496,0.135034641060404,-0.0577308363647625,-0.0577308363647625,4.17334056412576,-16.1451650573068,-1.7084677138294,1.23730049572416,0.358880347676611,0.427779545633146,0.269550246215626,0.553193720048956,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147
"3","gpm113b",0.82,11.802892359454,0.000591387728690522,2.38897038227131,0.122194085673096,14.2972290685782,0.000785952237210576,70.8072685693262,0.331326023289656,4.73650061602763,0.0684900742706353,-1.00166589040588,0.13500446817234,-0.0577735863231563,-0.0577735863231563,4.1732414148053,-16.1447485908362,-1.70854781302889,1.23708534396416,0.358879933596614,0.427785046942406,0.26955158428766,0.55319906604669,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518
"4","gpm705a",0.84,12.2192426268523,0.000472991279759643,2.26625063030141,0.132219436834444,14.5612497256985,0.000688755051757257,70.817264316193,0.330599396366883,4.73271165202504,0.0715267975781231,-1.02335143867219,0.135493596348616,-0.056484858874835,-0.056484858874835,4.18324769785386,-16.1350543017839,-1.71075964037502,1.22249302086601,0.358627620191477,0.427807525845222,0.269514141624707,0.553226135548006,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601
"5","gpm325a",4.97,11.8920449471822,0.000563741945403463,3.33544547881911,0.0678020439992098,15.2638221436048,0.000484733611867984,70.7893269576988,0.33048162099933,4.73818565554474,0.0688227323942414,-1.01174590553635,0.135413527156818,-0.0686665531409048,-0.0686665531409048,4.19534082802432,-16.1078584913016,-1.69068471874392,1.21743969052255,0.357638673596607,0.427472148247183,0.269332479395457,0.552909803091813,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113
"6","dmt103b",6.89,12.7694509592338,0.000352326235015296,3.69511934024634,0.0545718782669502,16.6004164294555,0.000248465087631105,70.8351836124139,0.330755256576526,4.74058538533829,0.0674439200166604,-1.0510504386675,0.135662866661465,-0.0721782767102041,-0.0721782767102041,4.18658663769009,-16.1042303480836,-1.69499792457844,1.22443066798255,0.357235856935613,0.427339401444042,0.269148425319424,0.552647846354596,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251
"7","gpm699d",8.67,13.2961907815399,0.000265945884539739,3.6484484267089,0.0561214706973246,16.9995123380517,0.000203517986950214,70.8594626208404,0.330758141352791,4.73991631171236,0.0676170845280291,-1.07670724884678,0.136223357512918,-0.0719432239284598,-0.0719432239284598,4.1877389758862,-16.1088281162205,-1.69522698388845,1.2270059231445,0.35719540202378,0.427264392689899,0.269119049852301,0.552572194697341,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486
"8","gpm319",14.82,17.9339710627248,2.28702328980863e-05,6.217749259911,0.0126475795135979,24.7825787570367,4.15462087827797e-06,71.1365170027045,0.336184600946414,4.76067283924898,0.0664014722578268,-1.27485322649774,0.138435830908891,-0.095303140622665,-0.095303140622665,4.19647616455305,-16.030336568037,-1.72947080165903,1.18698772458854,0.354988167596732,0.426193499128041,0.268024496171187,0.550956508059333,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576
"9","IDP1447",19.92,0.00360589886090045,0.952116499559717,12.5803419499933,0.000389825400208009,12.5843532080264,0.0018507272592857,69.639874678779,0.329725270877891,4.80407122068405,0.0706041714078157,0.0174162911732481,0.134824855762924,-0.133535940598498,-0.133535940598498,4.20610179285076,-16.0148758918825,-1.63570465940396,1.20397755768677,0.359181715675553,0.424553390447344,0.269092925152587,0.55074191125181,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175
"10","bnl5.62a",21.12,0.00177871067489661,0.96635938047795,12.0428707976377,0.000519908390188964,12.0445252672805,0.00242417835753629,69.6484936113638,0.329126604224064,4.80100732890963,0.0703999279912054,0.0121623365596652,0.13417330158703,-0.130319226169724,-0.130319226169724,4.20646822692608,-16.0292040960972,-1.63587823246593,1.21300737606257,0.35934601697819,0.424663201573129,0.26919480686234,0.55092328340356,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878
