"","names","allpos","pval"
"1","gpm27",0.01,0.283973374850527
"2","tub1",0.81,0.896124302905154
"3","gpm113b",0.82,0.994163669588252
"4","gpm705a",0.84,0.966125514199518
"5","gpm325a",4.97,0.00915901466869551
"6","dmt103b",6.89,0.0273165464668647
"7","gpm699d",8.67,0.0123392516913028
"8","gpm319",14.82,0.000297675451923052
"9","IDP1447",19.92,0.0496369969954324
"10","bnl5.62a",21.12,0.0307619295448016
"11","IDP1464",21.17,0.0274930355690188
"12","fus6",22.62,0.0737106634294048
"13","AY109692",23.62,0.124875310558963
"14","mmp102",24.42,0.00389446183657682
"15","AY110314",29.42,0.0011514293244379
"16","umc94a",38.62,0.000101452175605532
"17","gpm331",38.71,0.000139115438456128
"18","lim179",47.02,0.20152762160629
"19","IDP755",52.47,0.0185142343013279
"20","AY107629",54.63,0.00359097001171027
"21","mmp49",56.12,0.000508144986235859
"22","cdo1081a",57.82,0.000781820563544144
"23","asg31",65.22,0.849168175448436
"24","npi415",66.02,0.738557195667689
"25","ufg31",71.62,0.52875164956435
"26","gpm330",71.91,0.55130275139892
"27","ufg33",72.02,0.56865482920012
"28","ufg32",72.82,0.604451966871215
"29","ufg34",74.42,0.825177512210648
"30","AY108650",77.57,0.404989661302689
"31","gpm495",80.45,0.643508000054737
"32","gpm83b",80.75,0.662191652496626
"33","gpm767",80.94,0.564645419629272
"34","bnlg1014",81.12,0.96675387404591
"35","umc1363a",82.02,0.940237067992805
"36","gst12",83.52,0.308985733985869
"37","umc1269",84.62,0.23023879590476
"38","umc2012",85.72,0.0400831293487538
"39","umc1977",87.52,0.192834884298796
"40","IDP553",88.91,0.983822909015226
"41","IDP4043",89.33,0.99261823145067
"42","php20603",90.02,0.52661535585351
"43","sgb101",90.74,0.856538923724125
"44","IDP1437",91.9,0.543587302073974
"45","IDP847",93.03,0.974016885823554
"46","gpm125",96.14,0.962865971982814
"47","lls1",97.12,0.98534244923256
"48","php20689",99.42,0.1579114815707
"49","umc1685",101.32,0.226149748521089
"50","gpm557b",106.62,0.144315544347486
"51","umc1160",106.63,0.449139004318689
"52","gpm584",107.6,0.18341292099086
"53","gpm346b",108.13,0.744426214561184
"54","gpm33e",108.55,0.44512634725855
"55","umc2224",109.23,0.0657944250140239
"56","gpm556",110.49,0.097209680319968
"57","npi579b",110.53,0.636305186421095
"58","IDP3917",115.28,0.481704303378277
"59","gpm199c",115.57,0.278689552288811
"60","IDP1425",118.03,0.419386809156322
"61","mmp68",121.93,0.349426782452587
"62","umc2225",123.03,0.510414205290235
"63","csu1171",125.63,0.451136059434898
"64","mmp171b",130.13,0.297906390277798
"65","gpm403b",131.93,0.00619569707804613
"66","umc1568",140.13,0.000977306998512173
"67","IDP3783",140.14,0.00594287246643532
"68","bnlg1429",141.83,0.00659840315173432
"69","IDP209",144.3,0.00867062840095612
"70","php20640",145.23,0.000282719934532993
"71","lim504",149.93,0.000227656214201621
"72","gpm283b",151.4,0.00435614529773876
"73","IDP343",152.71,0.000485420274364157
"74","IDP622",152.96,2.8049770417482e-06
"75","IDP3970",156.2,0.0636876089820806
"76","umc1976",158.93,0.212929169234782
"77","gpm667",162.62,0.030900742877837
"78","gpm774d",162.74,0.0164389049629621
"79","umc2226",164.13,0.385050352622528
"80","mmp135",164.33,0.467799846951087
"81","bnlg1127",165.83,0.170488388922669
"82","bnlg1953",168.33,0.00796742204520928
"83","gpm768",168.34,0.0215875966423942
"84","gpm291",168.35,0.0276121213526938
"85","IDP4048",177.32,0.373890587149279
"86","IDP2552",178.95,0.539569759071806
"87","npi403b",182.13,0.264988688736665
"88","IDP645",193.89,0.249823253762254
"89","umc76a",196.73,0.208327960297035
"90","ufg78",198.03,0.330010612906227
