,SNP Names,Position (cM),Mean LOD,Mean P Value,Variance LOD,Variance P Value,Joint LOD,Joint P Value,A Mean Est,A Mean Lower Bound,A Mean Upper Bound,A Standard Deviation Est,A Standard Deviation Lower Bound,A Standard Deviation Upper Bound,B Mean Est,B Mean Lower Bound,B Mean Upper Bound,B Standard Deviation Est,B Standard Deviation Lower Bound,B Standard Deviation Upper Bound
1,gpm27,0.01,0.341335431,0.843101677,1.666785913,0.434572297,2.103212618,0.716782195,59.19346049,58.5126241,59.87429689,10.28332588,9.166332635,11.53643398,61.58938547,60.8332387,62.34553225,11.18424381,9.9550816,12.5651717
2,tub1,0.81,7.203570653,0.027274984,4.865051238,0.087814766,7.852209799,0.097144443,59.23096447,58.5443966,59.91753233,11.87206975,10.67455612,13.20392516,59.89208633,59.17290194,60.61127072,12.74391028,11.49258191,14.13148504
3,gpm113b,0.82,3.43382382,0.179619975,1.79948915,0.406673521,4.048137476,0.399530349,59.05833333,58.36318636,59.75348031,8.225739258,7.230537194,9.357919684,61.87687688,61.11859657,62.63515719,8.554541482,7.481112072,9.781992205
4,gpm705a,0.84,0.352801737,0.838281875,0.834793544,0.658759491,1.252317616,0.869412021,60.28291317,59.57277711,60.99304922,9.265793204,8.190208008,10.48263043,62.17402597,61.5063903,62.84166164,9.077284146,8.060345936,10.22252495
5,gpm325a,4.97,3.183392145,0.203580032,1.514799109,0.468884151,3.50400556,0.477269552,59.69362745,59.01874767,60.36850723,8.532175201,7.562854308,9.625732654,62.03055556,61.2993131,62.76179801,8.656569661,7.613588755,9.842427887
6,dmt103b,6.89,0.758590595,0.684343498,0.682310551,0.710948507,1.396159939,0.844862162,59.26077586,58.63072111,59.89083061,10.75937355,9.717227033,11.91328748,60.9151671,60.17094022,61.65939397,11.55613571,10.33928823,12.91619592
7,gpm699d,8.67,4.218198348,0.12134723,0.095999594,0.953133981,5.213754411,0.266059623,59.89373297,59.18584416,60.60162178,8.643995748,7.619670344,9.806022981,62.29569892,61.59076427,63.00063358,8.662503672,7.642482434,9.818664357
8,gpm319,14.82,4.103219648,0.12852783,1.176855564,0.555199494,6.519797186,0.163547267,59.24146341,58.57670109,59.90622574,11.06627741,9.945683862,12.31312975,62.64576803,61.89020834,63.40132771,11.09237591,9.827852054,12.51960271
9,IDP1447,19.92,2.675741889,0.262403746,1.959428973,0.37541827,3.68953677,0.44964957,58.75707547,58.05347156,59.46067938,9.578042088,8.53867069,10.74393118,60.96882494,60.28877604,61.64887384,9.240931528,8.230236344,10.3757428
10,bnl5.62a,21.12,1.043790018,0.593394993,0.924881301,0.629744781,2.021014304,0.731893588,58.80940594,58.08620482,59.53260706,11.94602381,10.73033523,13.2994433,60.88674033,60.16058992,61.61289075,11.39626379,10.17472526,12.76445557
