"","SNP Name","Position (cM)","Mean LOD","Mean P Value","Variance LOD","Variance P Value","Joint LOD","Joint P Value","A Mean Est","A Mean Lower Bound","A Mean Upper Bound","A Standard Deviation Est","A Standard Deviation Lower Bound","A Standard Deviation Upper Bound","B Mean Est","B Mean Lower Bound","B Mean Upper Bound","B Standard Deviation Est","B Standard Deviation Lower Bound","B Standard Deviation Upper Bound"
"1","Marker2336532",2336532,0.0911579141744942,0.95544416050571,0.290067257491288,0.864993203985188,0.379047944092724,0.984156088048503,3075.84258787242,2821.33781262934,3330.34736311549,5745.17378343059,4567.47677448769,7226.53303596061,2855.55042266154,2617.46757405927,3093.63327126382,5681.54286698012,4574.63827574478,7056.28016984081
"2","Marker2794639",2794639,0.140378981982536,0.932217156415361,0.0113705002642061,0.994330880319402,0.142462676228467,0.997580364050067,2898.00422686364,2654.34060857948,3141.66784514779,1589.75771939866,1234.10601847396,2047.90315301502,2974.92024693965,2715.39934901006,3234.44114486925,1587.35275918844,1211.58860576914,2079.65704704165
"3","Marker2957312",2957312,0.110402510218094,0.946294682148572,0.376995239135358,0.828202474916235,0.456359960111863,0.977607911805416,3061.88717315152,2813.6633803234,3310.11096597963,5835.1574507858,4702.56102745621,7240.53601360266,2886.16395864754,2633.39948868514,3138.92842860994,5695.31459278795,4550.24006197686,7128.54879501264
"4","Marker3198495",3198495,0.273920356840424,0.872004950055418,0.134490842720648,0.934965712620164,0.473798741625742,0.976001036975365,3051.07457402909,2787.28760924907,3314.86153880912,5108.49743417875,4022.08190155744,6488.36763490708,2810.32815158824,2577.55110383411,3043.10519934236,5000.33918801566,4032.82445062838,6199.97034369029
"5","Marker4045332",4045332,0.00178696101717769,0.999106918526269,0.106526911908547,0.948130189031279,0.108312721427216,0.9985854296751,2982.41059780318,2739.64951112954,3225.17168447681,1362.77121018639,1046.78993534008,1774.13376706714,2951.8697010625,2703.5031158734,3200.2362862516,1403.3290388474,1080.17631614153,1823.15827688851
"6","Marker4057201",4057201,0.458903526233094,0.794969314555165,0.0486237049785743,0.975981300096988,0.548974813021291,0.968561456459363,2733.03441449206,2483.99360677099,2982.07522221312,3717.90205681935,2947.04097659756,4690.3982041201,3101.10925054482,2850.52171243546,3351.69678865418,3578.83415660351,2809.11853461001,4559.45655644969
"7","Marker6193279",6193279,0.177513097997474,0.915068320758252,0.163040512107598,0.921714039375624,0.309447401912949,0.989196179502714,2911.85744129231,2656.34315657022,3167.37172601441,1421.70309836723,1095.69744457161,1844.70604537845,3085.81245509492,2837.78647186041,3333.83843832943,1319.70170747285,1004.02604525485,1734.62890224594
"8","Marker6199448",6199448,0.391155219856932,0.822359517824107,0.457879008223885,0.795376649066408,0.719292455583225,0.948928630164611,3019.0587770303,2759.39401760845,3278.72353645216,5045.86841431779,4046.30455026209,6292.35583687361,3014.09962501052,2768.1817982435,3260.01745177755,4376.16248887354,3450.83438617258,5549.61379942215
"9","Marker6200836",6200836,0.00592691230364544,0.997040930550023,0.254204332193651,0.880643696071838,0.260349325363794,0.992227887123487,2991.33452716551,2749.13632628531,3233.53272804572,2216.68158001638,1715.9051128289,2863.60661230448,2938.14365240909,2687.34388062299,3188.94342419518,2454.8308646125,1930.94178090853,3120.85772519706
"10","Marker6536937",6536937,0.0968720093414672,0.952718306876741,1.29297546496434,0.523882564943066,1.38829970996873,0.846226012790471,3091.99994683793,2851.58425773281,3332.41563594305,3810.12456237399,3000.10753553863,4838.84294440773,2876.5009460303,2642.65418059098,3110.34771146961,3967.78464732179,3171.31908263795,4964.27971997917
"11","Marker7041720",7041720,0.134765267970067,0.934837432321762,0.244920901966969,0.884740894883834,0.331296709685719,0.987705310087832,2946.36266041791,2698.20390171802,3194.52141911781,3773.00848916632,3010.61447223279,4728.46762367531,3039.02873407931,2782.07275779633,3295.9847103623,3623.75092366864,2843.11150184657,4618.73224045577
"12","Marker8932779",8932779,0.404340069324349,0.816956005293367,0.0862967018401427,0.957769293571301,0.483991834911246,0.97504054813087,3231.92612384822,2981.43396500386,3482.41828269257,4156.33090917712,3264.71685416686,5291.45019254347,2784.16658132353,2539.6579897161,3028.67517293096,4505.61084069713,3619.01687492489,5609.4043629539
"13","Marker9396417",9396417,0.46578149856242,0.792240121599247,0.11012797280635,0.946424587710744,0.564009168423101,0.966977888480191,3253.58959256735,2989.75286753043,3517.42631760426,9434.06812341004,7461.64048704831,11927.8919309537,2758.70671545065,2528.05673367246,2989.35669722884,10547.2305967625,8747.39083832458,12717.4005731965
"14","Marker9398408",9398408,0.467748450241352,0.791461355592145,0.174546606341712,0.916426599108571,0.68698215099001,0.952924531255352,3112.85411439091,2866.03203262316,3359.67619615866,5969.45616986855,4729.8023863255,7534.01602295385,2801.01576627027,2562.75394535606,3039.27758718449,6804.96084756743,5567.66172818797,8317.22442879029
"15","Marker11849964",11849964,0.314755937868747,0.854381068279409,0.192855700313812,0.908075412734814,0.440689288856873,0.97901204794886,3106.84011611333,2862.24472041778,3351.43551180888,765.23402445739,570.801510415648,1025.89622049325,2901.68894467727,2648.19328704312,3155.18460231142,823.560924142466,622.74638155233,1089.13133157627
"16","Marker15782718",15782718,0.150268582225822,0.927618906988414,0.227336365949015,0.892554071388667,0.395216680033532,0.982866652177885,2848.33942135909,2592.68803021963,3103.99081249856,6087.20697790468,4906.73921569887,7551.67274292847,3046.77875402951,2812.12188073333,3281.43562732569,5276.97106160495,4216.94647808749,6603.45672626256
"17","Marker17886196",17886196,0.499703852151628,0.778916111697884,0.447549636145949,0.799495145958541,0.777301677229633,0.941464928229299,2992.69020787586,2753.82242817503,3231.5579875767,4000.82885480515,3155.31925403862,5072.90395574202,3002.71555666198,2753.91226473225,3251.5188485917,4680.62584150891,3776.70829398479,5800.88705900178
"18","Marker19328270",19328270,0.0590459777174736,0.970908557304965,0.638998746915846,0.726512657566594,0.692670975753006,0.952229654408825,2927.342739652,2680.58917930887,3174.09629999512,3027.65054602745,2428.11557711719,3775.21890442447,3055.06488805686,2815.90934668937,3294.22042942435,2394.68374962921,1832.43876617162,3129.44168536606
"19","Marker19680213",19680213,0.0687991212787271,0.966185377854792,0.604350466297119,0.739208519703208,0.670256260526969,0.954945636462959,3069.60969136346,2831.60665702878,3307.61272569814,1530.76499618854,1155.3422549794,2028.17949699058,2881.83544950548,2632.33515120283,3131.33574780813,1895.4461263308,1494.77893971584,2403.50992535755
"20","Marker22508545",22508545,0.0513556723702398,0.974649035686507,0.0441667073370545,0.978158698537149,0.101052255195431,0.99876574729589,2930.94226406724,2679.8285699746,3182.05595815988,3329.07030293843,2607.22889890646,4250.76182860467,2961.60589630735,2717.18106718914,3206.03072542556,3522.39497147852,2810.66533826041,4414.35206326497
"21","Marker25744479",25744479,0.116221616912793,0.94354538883584,0.0255422309370054,0.987310089167798,0.144982356931826,0.997496108093568,2877.8463607361,2647.30577043552,3108.38695103669,2471.97122319882,1967.20711719609,3106.25234877795,3112.48477697777,2844.47145434343,3380.49809961211,2489.29859334455,1912.22243568401,3240.52650528108
"22","Marker25824803",25824803,0.0617825060116793,0.969581006363183,0.0717242452321337,0.964773304732636,0.121977472247464,0.998214103782614,3043.34870975094,2770.06723855824,3316.63018094365,2522.1170656125,1932.81090527662,3291.10027022711,2932.1194295,2701.55308659803,3162.68577240196,2514.11833584261,2007.1247398072,3149.17697005078
"23","Marker26525697",26525697,0.163207353075548,0.921637152751377,0.0386770663977091,0.980847256672208,0.258187049600553,0.992350999196408,3007.91880010943,2738.94093366454,3276.89666655433,2041.5946168361,1553.94579861797,2682.27410711566,2888.22537630667,2662.18344790532,3114.26730470802,2040.9566719798,1622.52087094377,2567.30388588217
"24","Marker27395526",27395526,0.00503055266233727,0.997487884325812,0.0700553972369245,0.965578670691966,0.0762297509910396,0.999291824033969,2976.09946305687,2708.65584175625,3243.54308435748,1659.63336707578,1247.99047701638,2207.05443177445,2950.98929636711,2721.72735369015,3180.25123904407,1735.35070271071,1373.9543100594,2191.80655379171
"25","Marker28424563",28424563,0.279162406989765,0.869722395838723,0.0306253241807038,0.984803980590859,0.443724869451698,0.978743028867835,3020.71418393703,2756.68461542927,3284.7437524448,3187.19824076709,2469.42722733843,4113.59869749937,2868.70507731866,2642.00657981733,3095.40357481999,3227.60868525344,2599.27996128764,4007.82446688151
"26","Marker32009243",32009243,0.281454252898096,0.868726331796902,0.0951165638507411,0.953554896497771,0.356974895204916,0.985845475294147,3105.16095954869,2872.26430550308,3338.05761359429,8501.76979382228,7010.26366656146,10310.6092816338,2836.33901616667,2563.25479796768,3109.42323436565,7817.24626282685,6132.52383379966,9964.79439621151
"27","Marker32579627",32579627,0.0819376619018876,0.959859047375282,0.00645086084114128,0.996779765692061,0.0839078353131607,0.999144166233734,2996.72420879324,2765.99428232875,3227.45413525773,2063.74979052579,1637.97552458921,2600.19953531563,2976.47522290384,2703.90766274797,3249.04278305972,2043.55719382021,1551.23259183833,2692.13400130106
"28","Marker33162386",33162386,0.167280050161659,0.919762287865213,0.271965722055357,0.872857592242636,0.370764608363714,0.984799745970261,3008.52219563947,2774.40914812282,3242.63524315612,4619.01141108317,3755.37890365124,5681.25533084636,2964.13573241999,2692.46538179412,3235.80608304587,4319.10857861748,3346.29162231989,5574.73795453437
"29","Marker41378424",41378424,0.660477514742342,0.718752105580782,0.505942040408272,0.776490384030501,0.91922933406279,0.921785994147207,3118.04150280412,2880.12631021729,3355.95669539094,14976.1756488784,12443.5405506097,18024.2782312523,2881.70433161801,2605.69138707079,3157.71727616522,14225.7518537774,11372.5725747896,17794.7438430829
"30","Marker42520422",42520422,0.291276158287773,0.86447051648381,0.154903413175113,0.925471717504795,0.416958179718505,0.981065089558759,3123.36364898243,2887.4196186396,3359.30767932525,9114.7729143812,7507.5512719436,11066.0696505945,2801.306531618,2529.56857765425,3073.04448558174,8535.59637739975,6741.27908260501,10807.5047220454
"31","Marker44176845",44176845,0.789021207866893,0.674009816299405,0.575019025964292,0.750129430769157,1.16491384597841,0.883840847618749,3196.60057869452,2958.53065496165,3434.6705024274,1493.64018281414,1170.59274851141,1905.83872875863,2761.58031085208,2479.74543908815,3043.41518261602,1436.13849888853,1063.3397464051,1939.63763224559
"32","Marker44193285",44193285,0.660725545720006,0.718662974713978,0.346219079475923,0.841045481896905,0.830171828054631,0.934357951787423,2839.15656252641,2575.37659675992,3102.9365282929,5720.05236311944,4500.42944213587,7270.19486862572,3151.85098284084,2909.95049794625,3393.75146773544,6124.2828614168,4978.22003810539,7534.18697437045
"33","Marker45090093",45090093,0.117349150832191,0.943013599037482,0.234437088476865,0.889390800687302,0.33736392161079,0.987276263748904,3047.11422304931,2806.28304841908,3287.94539767955,9744.62371605457,8024.28777306931,11833.7843872182,2828.28355473396,2568.14079032271,3088.42631914521,8817.63174898407,7020.17528374909,11075.3117291353
"34","Marker46687163",46687163,0.863643999664688,0.649324946348446,1.2388425486609,0.538255849951973,1.66286806943445,0.797451110851685,3127.79862232285,2875.80098691643,3379.79625772928,4828.50759608736,3892.5977027439,5989.4413411997,2888.87948413269,2627.50495549064,3150.25401277474,4263.86690746293,3320.74986371072,5474.83603123358
"35","Marker50423511",50423511,0.328739089451324,0.848428431688943,1.14564922953649,0.563930301078769,1.29407121578742,0.862380632219195,3052.03384015484,2788.89577297576,3315.17190733392,4734.666821128,3765.82775420398,5952.76028811065,2962.36279115345,2700.46471744734,3224.26086485955,4538.85941423759,3582.17116558163,5751.04980469806
"36","Marker50862476",50862476,0.18007791756171,0.913895580320032,0.669953119564295,0.715354854229663,0.784107182086093,0.940565931061473,2920.20559450702,2657.18593672935,3183.22525228469,3291.97480645257,2568.67271882237,4218.94858263094,3068.90636491429,2809.39557035108,3328.41715947749,3423.2117634254,2703.61739395193,4334.33325420543
"37","Marker52089372",52089372,0.787598327385423,0.674489504619926,0.662168767374825,0.718144566797044,1.08690195415051,0.896344750790363,3071.1227917254,2814.82318908262,3327.42239436817,4630.8540751626,3689.78608344835,5811.93841064316,2993.22977248983,2735.64276222736,3250.8167827523,4490.29838995043,3550.79607958357,5678.38286933
"38","Marker54130211",54130211,0.456223562294674,0.796035273125877,0.264044444830351,0.876321520882328,0.581659268365611,0.965079791804703,3038.05535392466,2798.38240593968,3277.72830190963,2172.68502794612,1722.76589043079,2740.10546463792,2981.46061786538,2718.05336363813,3244.86787209264,2013.98999448455,1529.89056731211,2651.27178672015
"39","Marker56075563",56075563,0.569569721999696,0.752176059318816,0.596577948337972,0.742086864825332,0.926234924251096,0.920767189532321,2971.05349563572,2725.76058555865,3216.34640571278,528.717637689826,395.449433013489,706.897815667813,3102.80656666667,2829.12113355143,3376.49199978191,507.898544976115,361.41400897815,713.754656932654
"40","Marker57249255",57249255,0.367364220194087,0.832200309858287,0.460161269406996,0.794469538104819,0.707034648414208,0.950458580392557,2911.35845452143,2660.43160477809,3162.28530426478,1576.71471911425,1230.3077218501,2020.65650838404,3117.69231634546,2868.65442420385,3366.73020848707,1393.57425810624,1053.37670836588,1843.64168813745
"41","Marker58362946",58362946,0.101554468462966,0.950490383671118,0.0917271724664327,0.95517225194867,0.188944469107795,0.995808842468165,2864.8746016875,2625.13907105513,3104.61013231986,2207.00906034568,1748.36769945919,2785.96372716941,3071.75428562745,2803.18020786364,3340.32836339126,2079.47357657379,1576.68138384316,2742.60253211611
"42","Marker61630381",61630381,0.0115474575470603,0.994242907165912,0.125861462745105,0.939008515267451,0.137311602925642,0.997748335747086,3008.86864573585,2747.11388000422,3270.62341146748,5213.53569587896,4092.29056852988,6641.99034673352,2929.42820230715,2684.06621519009,3174.79018942421,5672.87756753956,4595.09410999995,7003.45610468769
"43","Marker64646117",64646117,0.640036604173757,0.726135747152545,1.20991991542823,0.546096293145806,1.41112643417227,0.842258901280974,3059.52599837499,2798.47385291504,3320.57814383495,2557.70731600397,1976.45093263791,3309.90595633407,2957.56254484782,2709.86103457577,3205.26405511987,2699.03747812702,2139.64376404673,3404.6804569731
