"","SNP Name","Position (cM)","Mean LOD","Mean P Value","Variance LOD","Variance P Value","Joint LOD","Joint P Value","A Mean Est","A Mean Lower Bound","A Mean Upper Bound","A Standard Deviation Est","A Standard Deviation Lower Bound","A Standard Deviation Upper Bound","B Mean Est","B Mean Lower Bound","B Mean Upper Bound","B Standard Deviation Est","B Standard Deviation Lower Bound","B Standard Deviation Upper Bound"
"1","gpm27",0.01,0.341335430951824,0.843101676571437,1.66678591327755,0.434572297097817,2.10321261830195,0.716782194861207,59.1934604904626,59.1934604904626,59.1934604904626,59.1934604904626,59.1934604904626,59.1934604904626,59.1934604904626,59.1934604904626,59.1934604904626,59.1934604904626,59.1934604904626,59.1934604904626
"2","tub1",0.81,7.20357065262262,0.027274984206462,4.86505123773344,0.0878147656433041,7.85220979875514,0.0971444430132822,59.2309644670054,59.2309644670054,59.2309644670054,59.2309644670054,59.2309644670054,59.2309644670054,59.2309644670054,59.2309644670054,59.2309644670054,59.2309644670054,59.2309644670054,59.2309644670054
"3","gpm113b",0.82,3.43382382005096,0.179619974981424,1.79948915008048,0.406673521043397,4.04813747608573,0.399530349020865,59.0583333333334,59.0583333333334,59.0583333333334,59.0583333333334,59.0583333333334,59.0583333333334,59.0583333333334,59.0583333333334,59.0583333333334,59.0583333333334,59.0583333333334,59.0583333333334
"4","gpm705a",0.84,0.35280173730805,0.838281875046992,0.834793544489178,0.658759490601867,1.25231761644153,0.869412020925264,60.2829131652657,60.2829131652657,60.2829131652657,60.2829131652657,60.2829131652657,60.2829131652657,60.2829131652657,60.2829131652657,60.2829131652657,60.2829131652657,60.2829131652657,60.2829131652657
"5","gpm325a",4.97,3.18339214461612,0.203580032297945,1.51479910886141,0.468884150723834,3.50400556000332,0.477269551719985,59.6936274509801,59.6936274509801,59.6936274509801,59.6936274509801,59.6936274509801,59.6936274509801,59.6936274509801,59.6936274509801,59.6936274509801,59.6936274509801,59.6936274509801,59.6936274509801
"6","dmt103b",6.89,0.758590594746917,0.684343497988281,0.682310550659057,0.710948506871648,1.39615993907242,0.84486216232046,59.2607758620696,59.2607758620696,59.2607758620696,59.2607758620696,59.2607758620696,59.2607758620696,59.2607758620696,59.2607758620696,59.2607758620696,59.2607758620696,59.2607758620696,59.2607758620696
"7","gpm699d",8.67,4.21819834846573,0.121347229923795,0.0959995941100623,0.953133980511231,5.21375441119219,0.266059623288834,59.8937329700276,59.8937329700276,59.8937329700276,59.8937329700276,59.8937329700276,59.8937329700276,59.8937329700276,59.8937329700276,59.8937329700276,59.8937329700276,59.8937329700276,59.8937329700276
"8","gpm319",14.82,4.10321964807585,0.128527829766416,1.17685556364419,0.555199493639757,6.51979718586898,0.163547266707486,59.241463414634,59.241463414634,59.241463414634,59.241463414634,59.241463414634,59.241463414634,59.241463414634,59.241463414634,59.241463414634,59.241463414634,59.241463414634,59.241463414634
"9","IDP1447",19.92,2.67574188880044,0.262403746445889,1.95942897344774,0.375418270451529,3.68953676968863,0.449649570467091,58.7570754716985,58.7570754716985,58.7570754716985,58.7570754716985,58.7570754716985,58.7570754716985,58.7570754716985,58.7570754716985,58.7570754716985,58.7570754716985,58.7570754716985,58.7570754716985
"10","bnl5.62a",21.12,1.04379001770775,0.593394993073055,0.924881301434162,0.629744781303737,2.02101430448305,0.731893587798376,58.8094059405938,58.8094059405938,58.8094059405938,58.8094059405938,58.8094059405938,58.8094059405938,58.8094059405938,58.8094059405938,58.8094059405938,58.8094059405938,58.8094059405938,58.8094059405938
"11","IDP1464",21.17,2.65291201735465,0.265416229283331,0.714092278728075,0.699740211421435,3.22405736339917,0.52105405531697,58.4822695035464,58.4822695035464,58.4822695035464,58.4822695035464,58.4822695035464,58.4822695035464,58.4822695035464,58.4822695035464,58.4822695035464,58.4822695035464,58.4822695035464,58.4822695035464
"12","fus6",22.62,4.11334670393729,0.127878670415771,0.194413633727084,0.907368327654802,5.44080343184974,0.24498211641692,59.4613778705639,59.4613778705639,59.4613778705639,59.4613778705639,59.4613778705639,59.4613778705639,59.4613778705639,59.4613778705639,59.4613778705639,59.4613778705639,59.4613778705639,59.4613778705639
"13","AY109692",23.62,3.53472999997203,0.170782408103213,0.176886589805089,0.915355014559685,4.66237392620487,0.323725845500134,61.2026315789472,61.2026315789472,61.2026315789472,61.2026315789472,61.2026315789472,61.2026315789472,61.2026315789472,61.2026315789472,61.2026315789472,61.2026315789472,61.2026315789472,61.2026315789472
"14","mmp102",24.42,1.50310178660821,0.471634530408278,0.158186781239248,0.923953631813509,1.65112991949359,0.799574591292323,58.3919239904985,58.3919239904985,58.3919239904985,58.3919239904985,58.3919239904985,58.3919239904985,58.3919239904985,58.3919239904985,58.3919239904985,58.3919239904985,58.3919239904985,58.3919239904985
"15","AY110314",29.42,2.1427849196609,0.342531224219623,0.0148064285773186,0.99262412200184,2.14613159650336,0.708902538868619,58.9945799457995,58.9945799457995,58.9945799457995,58.9945799457995,58.9945799457995,58.9945799457995,58.9945799457995,58.9945799457995,58.9945799457995,58.9945799457995,58.9945799457995,58.9945799457995
"16","umc94a",38.62,3.56948894900133,0.167839942906462,0.0927542776202002,0.954681846712528,3.65731315396896,0.454364887940681,57.2955801104973,57.2955801104973,57.2955801104973,57.2955801104973,57.2955801104973,57.2955801104973,57.2955801104973,57.2955801104973,57.2955801104973,57.2955801104973,57.2955801104973,57.2955801104973
"17","gpm331",38.71,3.66871318588381,0.159716231266622,0.0932837433070274,0.954429144523453,3.75552246711856,0.440102074637312,58.3761194029849,58.3761194029849,58.3761194029849,58.3761194029849,58.3761194029849,58.3761194029849,58.3761194029849,58.3761194029849,58.3761194029849,58.3761194029849,58.3761194029849,58.3761194029849
"18","lim179",47.02,2.92228372669408,0.231971243983036,0.245337293144526,0.884556714905702,3.02039610862052,0.554417981106128,58.6557017543855,58.6557017543855,58.6557017543855,58.6557017543855,58.6557017543855,58.6557017543855,58.6557017543855,58.6557017543855,58.6557017543855,58.6557017543855,58.6557017543855,58.6557017543855
"19","IDP755",52.47,4.80030199804093,0.090704256001492,1.59575259181092,0.450284219859352,5.54692947663206,0.235635035625356,58.0662393162389,58.0662393162389,58.0662393162389,58.0662393162389,58.0662393162389,58.0662393162389,58.0662393162389,58.0662393162389,58.0662393162389,58.0662393162389,58.0662393162389,58.0662393162389
"20","AY107629",54.63,3.7129252859776,0.15622427514552,0.0206807234705815,0.989712916009935,3.78585675484532,0.435761977035566,58.2763157894739,58.2763157894739,58.2763157894739,58.2763157894739,58.2763157894739,58.2763157894739,58.2763157894739,58.2763157894739,58.2763157894739,58.2763157894739,58.2763157894739,58.2763157894739
"21","mmp49",56.12,5.43927770858077,0.065898549107751,0.0894190448311852,0.956275218008436,6.18503954582622,0.185749012596951,59.0043859649116,59.0043859649116,59.0043859649116,59.0043859649116,59.0043859649116,59.0043859649116,59.0043859649116,59.0043859649116,59.0043859649116,59.0043859649116,59.0043859649116,59.0043859649116
"22","cdo1081a",57.82,4.07272966957437,0.130502246894245,0.347888361794892,0.840343803586249,4.28903375509665,0.368300309480107,58.2875000000005,58.2875000000005,58.2875000000005,58.2875000000005,58.2875000000005,58.2875000000005,58.2875000000005,58.2875000000005,58.2875000000005,58.2875000000005,58.2875000000005,58.2875000000005
