Entry,Treatment,Line,Replicate,Height_in,comments
433,Control,Mo001 ,1,71,
433,Control,Mo001 ,2,79,
433,Control,Mo001 ,3,48,
433,Control,Mo001 ,4,85,
433,Control,Mo001 ,5,36,
433,Control,Mo001 ,6,72,
433,Control,Mo001 ,7,58,
433,Control,Mo001 ,8,76,
433,Control,Mo001 ,9,68,
433,Control,Mo001 ,10,76,
433,Control,Mo001 ,11,81,
433,Control,Mo001 ,12,41,
434,Control,Mo005,1,90,
434,Control,Mo005,2,75,
434,Control,Mo005,3,82,
434,Control,Mo005,4,79,
434,Control,Mo005,5,80,
434,Control,Mo005,6,83,
434,Control,Mo005,7,85,
434,Control,Mo005,8,65,
434,Control,Mo005,9,83,
434,Control,Mo005,10,61,
434,Control,Mo005,11,86,
434,Control,Mo005,12,53,
434,Control,Mo005,13,40,
434,Control,Mo005,14,52,
434,Control,Mo005,15,84,
435,Control,B73,1,76,
435,Control,B73,2,74,
435,Control,B73,3,77,
435,Control,B73,4,76,
435,Control,B73,5,70,
435,Control,B73,6,72,
435,Control,B73,7,72,
435,Control,B73,8,69,
435,Control,B73,9,74,
435,Control,B73,10,73,
435,Control,B73,11,72,
435,Control,B73,12,77,
436,Control,Mo021,1,78,
436,Control,Mo021,2,74,
436,Control,Mo021,3,76,
436,Control,Mo021,4,73,
436,Control,Mo021,5,65,
436,Control,Mo021,6,71,
436,Control,Mo021,7,72,
436,Control,Mo021,8,66,
436,Control,Mo021,9,71,
436,Control,Mo021,10,71,
436,Control,Mo021,11,75,
436,Control,Mo021,12,75,
436,Control,Mo021,13,74,
436,Control,Mo021,14,69,
436,Control,Mo021,15,70,
436,Control,Mo021,16,72,
437,Control,Mo022,1,73,
437,Control,Mo022,2,76,
437,Control,Mo022,3,71,
437,Control,Mo022,4,66,
437,Control,Mo022,5,69,
437,Control,Mo022,6,67,
437,Control,Mo022,7,65,
437,Control,Mo022,8,64,
438,Control,Mo028,1,67,
438,Control,Mo028,2,63,
438,Control,Mo028,3,66,
438,Control,Mo028,4,60,
438,Control,Mo028,5,58,
438,Control,Mo028,6,49,
438,Control,Mo028,7,58,
438,Control,Mo028,8,55,
438,Control,Mo028,9,65,
438,Control,Mo028,10,56,
438,Control,Mo028,11,63,
438,Control,Mo028,12,42,
438,Control,Mo028,13,50,
438,Control,Mo028,14,64,
438,Control,Mo028,15,59,
438,Control,Mo028,16,62,
445,Control,Mo029,1,76,
445,Control,Mo029,2,70,
445,Control,Mo029,3,68,
445,Control,Mo029,4,68,
445,Control,Mo029,5,66,
445,Control,Mo029,6,65,
445,Control,Mo029,7,68,
445,Control,Mo029,8,62,
445,Control,Mo029,9,68,
445,Control,Mo029,10,67,
445,Control,Mo029,11,64,
445,Control,Mo029,12,61,
445,Control,Mo029,13,68,
445,Control,Mo029,14,69,
445,Control,Mo029,15,68,
445,Control,Mo029,16,68,
445,Control,Mo029,17,65,
446,Control,Mo17 parent,1,74,
446,Control,Mo17 parent,2,74,
446,Control,Mo17 parent,3,74,
446,Control,Mo17 parent,4,77,
446,Control,Mo17 parent,5,81,
446,Control,Mo17 parent,6,74,
446,Control,Mo17 parent,7,74,
446,Control,Mo17 parent,8,79,
446,Control,Mo17 parent,9,78,
446,Control,Mo17 parent,10,73,
446,Control,Mo17 parent,11,74,
447,Control,Mo030,1,78,
447,Control,Mo030,2,76,
447,Control,Mo030,3,72,
447,Control,Mo030,4,78,
447,Control,Mo030,5,74,
447,Control,Mo030,6,73,
447,Control,Mo030,7,78,
447,Control,Mo030,8,75,
447,Control,Mo030,9,74,
447,Control,Mo030,10,71,
447,Control,Mo030,11,74,
