,Cycle,A1,A3,A5,A7,A9,A11,B1,B3,B5,B7,B9,B11,C1,C3,C5,C7,C9,C11,D1,D3,D5,D7,D9,D11,E1,E3,E5,E7,E9,E11,F1,F2,F3,F4,F5,G7,G8,G9,G10,G11,H1,H2,H3,H4,H5
,1,2838.38,2610.17,2583.27,2709.01,2775.51,2684.59,3049.25,2615.79,2590.47,2740.93,2773.56,2701.62,2850.58,2621.07,2635.30,2791.67,2747.58,2743.58,2862.56,2635.98,2599.02,2770.58,2800.29,2776.49,2647.66,2543.83,2555.21,2822.13,2788.35,2638.25,3168.66,2673.47,2607.81,2637.42,2606.75,2695.73,2786.37,2732.87,2712.36,2564.18,2843.23,2636.39,2639.57,2618.54,2620.61
,2,2859.96,2613.36,2593.23,2715.43,2780.72,2693.44,3067.84,2627.20,2597.24,2749.36,2774.66,2713.78,2855.04,2628.88,2642.93,2790.52,2755.94,2746.78,2874.89,2636.52,2603.41,2774.09,2802.94,2776.49,2655.76,2545.00,2556.70,2830.43,2796.00,2665.68,3173.22,2677.90,2608.80,2643.68,2612.23,2695.69,2786.78,2740.86,2713.08,2570.98,2859.61,2643.61,2653.46,2621.97,2623.90
,3,2860.42,2620.19,2599.62,2725.40,2780.47,2705.21,3074.40,2629.03,2600.25,2753.90,2777.03,2714.39,2863.07,2629.66,2646.01,2799.38,2756.30,2756.73,2882.56,2642.33,2606.51,2779.63,2805.12,2778.07,2655.82,2549.24,2556.86,2831.86,2798.30,2677.41,3183.41,2687.92,2607.78,2646.12,2613.75,2701.91,2786.20,2741.91,2713.97,2570.02,2867.61,2648.39,2654.17,2623.85,2622.80
,4,2871.00,2626.13,2604.31,2729.35,2789.06,2708.81,3079.63,2633.56,2599.28,2760.80,2778.16,2720.61,2863.11,2633.46,2646.31,2799.03,2759.04,2756.54,2885.44,2643.17,2609.03,2780.62,2805.91,2780.37,2660.26,2543.35,2559.16,2832.85,2802.21,2680.71,3182.83,2693.01,2612.20,2647.17,2615.79,2707.67,2793.65,2740.56,2718.34,2570.48,2871.78,2649.12,2662.74,2623.93,2616.86
,5,2878.49,2624.68,2606.91,2732.54,2790.55,2718.94,3081.25,2635.73,2604.40,2768.61,2776.95,2728.51,2865.96,2635.09,2643.52,2805.35,2761.91,2764.44,2887.27,2644.53,2607.51,2782.07,2808.44,2792.10,2661.26,2546.94,2557.43,2839.00,2799.25,2682.08,3183.86,2690.58,2610.21,2644.84,2615.54,2711.83,2790.75,2741.52,2717.32,2568.88,2874.21,2650.82,2659.15,2626.89,2627.08
,6,2879.93,2628.19,2611.53,2731.49,2789.22,2722.31,3085.18,2639.21,2603.40,2762.00,2778.85,2725.71,2868.21,2634.81,2649.30,2807.61,2760.78,2760.16,2889.66,2643.10,2607.65,2780.20,2810.97,2791.67,2661.78,2544.96,2561.63,2836.87,2803.02,2685.38,3186.18,2690.78,2612.92,2648.76,2613.23,2714.10,2791.98,2740.99,2718.60,2574.78,2883.29,2656.07,2660.94,2625.15,2625.49
,7,2885.55,2631.51,2620.14,2734.09,2792.93,2729.29,3083.81,2641.40,2601.05,2765.03,2774.41,2731.17,2872.02,2637.24,2645.12,2811.07,2771.98,2767.02,2895.45,2647.72,2614.19,2782.22,2815.76,2788.67,2663.07,2542.78,2558.72,2835.60,2801.74,2683.83,3184.88,2693.55,2612.28,2646.42,2619.42,2714.37,2797.18,2748.13,2716.19,2575.11,2886.29,2657.61,2659.79,2631.04,2626.11
,8,2886.46,2629.71,2618.66,2737.63,2794.49,2727.07,3085.21,2647.79,2607.12,2766.28,2783.45,2734.02,2873.07,2642.95,2647.11,2812.20,2767.68,2773.34,2895.39,2643.07,2608.56,2783.67,2814.92,2789.84,2667.57,2548.61,2556.74,2834.59,2806.00,2685.74,3191.06,2701.11,2612.20,2648.01,2618.69,2712.33,2799.33,2746.36,2720.46,2571.43,2881.78,2658.96,2668.67,2628.97,2626.69
,9,2893.79,2632.49,2625.25,2741.57,2795.36,2729.54,3085.42,2647.75,2608.37,2774.59,2787.35,2742.54,2873.47,2638.33,2650.85,2807.29,2768.55,2771.77,2897.00,2644.71,2608.33,2782.39,2815.02,2788.25,2664.86,2550.67,2559.27,2839.24,2810.98,2687.42,3192.97,2697.24,2615.76,2651.20,2616.03,2718.21,2798.13,2744.32,2723.90,2568.87,2886.00,2662.80,2664.33,2632.13,2630.17
,10,2890.51,2637.54,2625.37,2739.60,2795.51,2735.72,3088.70,2647.32,2608.89,2770.15,2783.65,2737.00,2875.58,2636.35,2650.89,2808.72,2771.18,2774.37,2905.91,2646.63,2613.03,2788.33,2816.31,2788.02,2666.94,2551.13,2559.01,2840.05,2804.97,2685.58,3194.88,2703.27,2614.61,2650.67,2616.75,2717.03,2799.20,2746.07,2718.61,2571.67,2884.57,2662.45,2668.40,2632.40,2629.68
,11,2896.14,2636.03,2624.93,2741.66,2799.68,2732.74,3089.52,2649.59,2608.23,2776.49,2782.29,2742.83,2876.54,2639.12,2651.04,2808.98,2774.52,2779.21,2904.66,2647.52,2615.30,2783.59,2809.59,2793.54,2667.58,2546.23,2557.72,2840.52,2806.45,2684.27,3192.36,2702.16,2611.03,2648.84,2615.08,2717.44,2800.37,2744.47,2719.29,2574.18,2890.06,2664.02,2665.33,2624.07,2627.73
,12,2891.73,2638.17,2626.29,2742.41,2798.00,2733.76,3088.63,2650.19,2606.46,2775.81,2783.97,2745.85,2879.66,2641.12,2650.82,2808.83,2772.61,2777.73,2910.12,2646.57,2615.16,2783.89,2813.64,2790.34,2669.05,2548.02,2557.96,2839.67,2803.61,2690.04,3194.89,2703.86,2614.48,2647.72,2615.79,2714.97,2801.38,2744.33,2719.62,2568.35,2896.49,2663.47,2669.79,2626.55,2630.78
,13,2898.79,2639.23,2628.63,2738.77,2796.22,2738.53,3091.90,2651.09,2608.25,2774.45,2784.78,2742.69,2880.50,2643.49,2649.47,2808.50,2774.64,2779.56,2910.48,2651.14,2609.22,2787.47,2816.94,2797.40,2667.89,2548.85,2556.50,2837.93,2804.43,2691.82,3193.67,2703.43,2614.63,2649.66,2618.12,2718.32,2803.32,2742.58,2719.70,2571.12,2893.48,2667.91,2670.39,2624.92,2628.92
,14,2893.31,2636.60,2630.46,2740.83,2801.36,2738.86,3090.01,2650.59,2605.58,2773.69,2782.49,2742.53,2880.14,2645.43,2654.05,2807.66,2774.92,2778.22,2906.11,2647.30,2613.60,2788.66,2814.73,2794.00,2672.96,2546.63,2562.19,2840.90,2809.50,2688.89,3193.21,2703.40,2612.48,2648.98,2615.05,2713.62,2803.32,2746.61,2716.58,2576.65,2892.37,2666.28,2668.77,2630.79,2630.35
,15,2891.36,2640.49,2629.32,2746.48,2801.54,2739.60,3094.10,2655.46,2606.98,2777.39,2785.53,2751.47,2881.93,2642.29,2654.19,2811.17,2779.23,2780.40,2912.90,2652.86,2613.18,2784.83,2811.90,2797.87,2671.81,2543.22,2557.35,2841.25,2804.15,2685.81,3197.16,2706.49,2614.13,2646.64,2618.68,2714.07,2802.15,2750.97,2717.41,2574.59,2892.74,2671.50,2671.98,2630.27,2629.12
,16,2894.37,2639.95,2630.57,2744.13,2800.39,2740.75,3095.51,2653.91,2605.70,2779.20,2787.03,2746.81,2881.51,2644.49,2651.79,2810.78,2779.75,2782.72,2910.07,2649.47,2611.10,2786.46,2814.63,2794.78,2670.91,2548.92,2557.97,2838.42,2809.56,2686.95,3199.04,2709.60,2613.40,2646.48,2617.94,2717.10,2804.08,2746.00,2723.25,2575.98,2897.72,2668.42,2670.99,2628.31,2627.49
,17,2894.57,2639.30,2634.69,2742.48,2800.82,2739.95,3099.19,2655.48,2607.96,2778.76,2786.47,2747.49,2884.86,2643.82,2651.26,2811.90,2779.30,2786.07,2914.72,2649.31,2607.50,2781.21,2818.95,2793.99,2677.45,2544.56,2558.97,2840.29,2810.39,2687.11,3199.71,2711.93,2609.11,2648.27,2619.90,2715.11,2800.23,2751.21,2718.22,2573.64,2895.12,2669.08,2670.74,2629.45,2630.69
,18,2890.70,2645.76,2636.81,2749.67,2798.44,2746.21,3103.53,2656.50,2604.14,2776.30,2785.46,2748.75,2885.05,2644.21,2652.94,2808.73,2779.53,2783.82,2914.70,2648.81,2613.47,2785.10,2815.45,2796.86,2677.74,2546.61,2561.31,2837.69,2803.92,2690.04,3202.02,2707.43,2611.97,2647.71,2613.60,2718.22,2800.03,2748.38,2720.13,2571.46,2893.42,2669.46,2672.65,2628.09,2628.83
,19,2894.64,2643.55,2633.75,2746.80,2800.81,2745.79,3104.39,2659.03,2608.45,2777.18,2789.08,2751.15,2881.74,2644.06,2651.87,2810.19,2780.91,2778.10,2917.14,2654.01,2611.09,2786.36,2820.52,2796.08,2678.92,2544.42,2563.62,2839.90,2806.58,2685.75,3203.36,2710.88,2610.74,2649.81,2614.97,2718.60,2805.45,2744.55,2721.24,2569.25,2897.43,2669.26,2671.39,2630.91,2635.26
