"SNP Name","Position (cM)","Mean LOD","Mean P Value","Variance LOD","Variance P Value","Joint LOD","Joint P Value","A Mean Est","A Mean Lower Bound","A Mean Upper Bound","A Standard Deviation Est","A Standard Deviation Lower Bound","A Standard Deviation Upper Bound","B Mean Est","B Mean Lower Bound","B Mean Upper Bound","B Standard Deviation Est","B Standard Deviation Lower Bound","B Standard Deviation Upper Bound"
"lim179",47.02,1.35675487697048,0.507439676847725,62.5464847597194,2.6194095297712e-14,63.1097077089031,6.43453020367306e-13,62.0925925925924,61.2602782576092,62.9249069275755,1.62389035872784,0.804575164029657,3.27753082006895,66.3073929961087,63.7792287376173,68.8355572546,2.04819141412657,1.07588248115056,3.89920659774621
"AY107629",54.63,1.07341801305712,0.584669232300457,60.4504220219068,7.47063715705623e-14,61.2096702785952,1.61526026139278e-12,61.6428571428574,60.793479893622,62.4922343920929,1.61301317667406,0.781982131467987,3.32720071651745,66.8923076923081,64.3984267701857,69.3861886144304,2.02136570666791,1.05451153180754,3.87470330750141
"npi415",66.02,1.83856128509686,0.398805821862889,49.5459213749535,1.74276918791103e-11,50.1177540108657,3.41211523539539e-10,62.130890052356,61.1892708618703,63.0725092428417,1.61878119895554,0.749330275245941,3.49705951655545,65.8531746031746,63.290158920467,68.4161902858822,2.00539667886395,1.02558852353526,3.92127617198349
"ufg31",71.62,0.656108213237285,0.720324044352532,33.9113218293258,4.32762905325913e-08,34.2088525600986,6.75191268268603e-07,62.1066666666664,61.0484420870877,63.1648912462452,1.4943852250645,0.527894891992696,4.23036334460681,65.710769230769,63.6942097609791,67.7273287005589,1.75694047048429,0.866445378644029,3.56264790938858
"ufg32",72.82,NA,NA,NA,NA,NA,NA,62.0827586206894,60.9454748559793,63.2200423853996,1.54222741092141,0.565978778821124,4.20239322744831,66.0586206896549,63.8084687119357,68.3087726673741,1.82889107944487,0.900223047770446,3.7155709229586
"gpm495",80.45,1.42519127378071,0.490369722397897,39.6581698843685,2.44533198467394e-09,40.0616804547098,4.20313409145917e-08,61.9125,60.8719186073752,62.9530813926248,1.55819678202745,0.622222536093713,3.90210426443798,66.3369565217391,63.9898049689624,68.6841080745157,1.87871490267891,0.933928718795244,3.7792709598875
"gpm767",80.94,1.45262826901351,0.483688519345734,39.5562201554668,2.57321414918642e-09,39.9591126918025,4.41352131192645e-08,61.8580645161293,60.8131980814833,62.9029309507754,1.54618969965806,0.601035965236373,3.97763649033629,66.2882562277583,63.9787171813391,68.5977952741775,1.86118495893946,0.922601078980381,3.75461239998847
"php20603",90.02,0.446175247789273,0.800044743186832,41.707985973036,8.77457156292853e-10,41.9142572974416,1.73784171499883e-08,62.7810218978103,61.6406341313048,63.9214096643157,1.55268666672242,0.568115058828583,4.24356976206294,65.1360294117647,62.7473980809591,67.5246607425703,1.86622580360073,0.914270508253173,3.80937448882554
"umc1160",106.63,0.488481479953215,0.783299040170097,51.2430081215001,7.45971384707108e-12,51.6345387820795,1.64481447903689e-10,62.387254901961,61.4983238054765,63.2761859984456,1.57891295176201,0.724869327196093,3.43919381840173,66.1403508771933,63.8529312367681,68.4277705176186,1.92863551946661,0.998169231928683,3.72645724589314
"IDP3917",115.28,0.495139903585045,0.780695607843627,46.6297297042793,7.49001777578137e-11,46.9283070747386,1.57825723871054e-09,62.3801169590641,61.4116559791029,63.3485779390252,1.52120543905662,0.603300028945227,3.83568022010745,65.7412140575077,63.6446479357683,67.8377801792471,1.81705201305938,0.917252691339216,3.59952938741735
"umc2225",123.03,0.699797161872045,0.704759562149441,51.8428037070563,5.52685679479418e-12,52.086481522218,1.32319234950485e-10,61.9664429530202,61.0319980497723,62.9008878562681,1.52487308584992,0.593053270368053,3.92079100500772,66.2553956834533,63.9004799736198,68.6103113932868,1.88962270842645,0.94647987078439,3.77258311604847
"mmp171b",130.13,0.298552216113627,0.861331261562955,51.6791018344139,5.99826462796923e-12,51.7940317331248,1.52325639668424e-10,63.4726368159201,62.5840040296115,64.3612696022286,1.5735692213768,0.71577183998998,3.45937064875178,65.291228070175,63.0016769292268,67.5807792111233,1.92340948543099,0.992583177550619,3.7271476409414
"umc2226",164.13,0.429067688782623,0.806917501638075,54.5527874269119,1.42564936188131e-12,54.6887340469954,3.77536594022883e-11,65.3406113537119,62.555264335466,68.1259583719577,2.10225154033726,1.08106382001123,4.08806719551904,63.2376237623764,62.2062563632812,64.2689911614716,1.70423164516291,0.839454728614746,3.45987151107894
"bnlg1127",165.83,NA,NA,NA,NA,NA,NA,65.6602870813395,62.6351241244418,68.6854500382372,2.24728161840779,1.17892486684052,4.28379688518071,64.0169491525421,63.0786186605958,64.9552796444883,1.7713015126389,0.965238258899799,3.25050216332398
"npi403b",182.13,NA,NA,-452.244603823258,1,-452.134612776809,1,65.684782608695,62.2371832665477,69.1323819508423,2.5262424785034,1.37073051133252,4.65583935531646,64.0923694779112,63.2306872507549,64.9540517050674,1.87541923022218,1.10878691086522,3.17211292325104
"gpm748b",202.7,0.979103642906932,0.61290102172782,45.7681190339141,1.1523362610842e-10,45.9977400308355,2.4655195795876e-09,65.4436619718308,63.1511563814412,67.7361675622203,1.84090749451278,0.904918959208447,3.7450208870833,63.2535211267602,62.1748136527101,64.3322286008104,1.53166993936797,0.561035341564079,4.18157757517232
